© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C5C2_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Glutaminergic Receptor Signaling Pathway (Enhanced)	-0E00	0.30151134457776363	3.89E-02	BDNF,CALM2,CALML5,GLUD1,GNB1L,ITPR2,MAPK1,PLCB3,PLCD3,PLCE1,PPP3R1,PRKACB,YKT6	
Glycerophospholipid biosynthesis	-0E00	1.3416407864998738	3.88E-02	AGPAT5,LPCAT2,MBOAT2,OSBPL10,PTDSS1	
Graft-versus-Host Disease Signaling	-0E00		8.89E-03	HLA-B,IL18,IL1A,IL1B	
Gustation Pathway	-0E00	1.3416407864998738	2.38E-02	ITPR2,LIPA,LRRC8C,LRRC8D,PRKACB	
Hematopoiesis from Pluripotent Stem Cells	-0E00		4.44E-03	IL1A,KITLG	
Heparan Sulfate Biosynthesis	-0E00		2.83E-02	EXT2,HS3ST1,HS6ST1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00		3.03E-02	EXT2,HS3ST1,HS6ST1	
ICOS-ICOSL Signaling in T Helper Cells	-0E00		1.36E-02	CALM2,CALML5,HLA-B,ITPR2,NFAT5,NFKBIB,PPP3R1	
ID3 Signaling Pathway	-0E00	1.386750490563073	1.34E-02	CDKN1A,CXCL1,EGR1,HES1,ID3,KRAS,LGALS1,MAPK1,RAC2,RRAS,RRAS2,SMAD3,VEGFA	
IL-15 Signaling	-0E00	1.6329931618554523	1.14E-02	GNB1L,KRAS,MAPK1,RRAS,RRAS2,STAT3	
IL-4 Signaling	-0E00	2.138089935299395	2.43E-02	ANO1,COL12A1,COL17A1,COL4A1,COL4A2,COL4A5,GNB1L,IRS2,KRAS,MAPK1,RRAS,RRAS2,STAT3,TIMP3	
