© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C5C2_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Transport of bile salts and organic acids, metal ions and amine compounds	-0E00		3.57E-02	BSG,SLC16A7,SLC39A4	
Type I Diabetes Mellitus Signaling	-0E00	0.4472135954999579	1.17E-02	HLA-B,IL1B,MAPK1,MAPK8,NFKBIB,SOCS3	
Unfolded Protein Response (UPR)	-0E00		3.03E-02	ATF6B	
WNT ligand biogenesis and trafficking	-0E00		3.85E-02	WNT7A	
Xenobiotic Metabolism PXR Signaling Pathway	-0E00	-0.4472135954999579	3.60E-02	ALDH1A1,ALDH1A3,ESD,GSTP1,HS3ST1,HS6ST1,PRKACB,RXRA	
Zn Homeostasis Signaling Pathway	-0E00	0.6	2.40E-02	ADRB2,EGR1,F2RL1,FZD6,GPR153,IL18,IL1A,IL1B,ITPR2,LGR4,LPAR1,MAPK1,MMP1,MT2A,NFAT5,NTSR1,PLCB3,PPP3R1,PRKACB,RAC2,S100A4,SIRT2,SLC39A13,SLC39A4,SMAD3,STAT3	
p70S6K Signaling	-0E00	1.7320508075688774	2.38E-02	EEF2,F2RL1,KRAS,MAPK1,PLCB3,PLCD3,PLCE1,PPP2R1A,PPP2R2B,PTPA,RRAS,RRAS2,YWHAH,YWHAZ	
rRNA processing	-0E00		3.12E-02	MT-TL1	
Other interleukin signaling	2.01E-01		4.17E-02	STXBP2	
RAS processing	2.01E-01		4.17E-02	KRAS	
Apelin Cardiac Fibroblast Signaling Pathway	2.12E-01		4.35E-02	CCN2	
Nephrin family interactions	2.12E-01		4.35E-02	ACTN1	
Tryptophan Degradation III (Eukaryotic)	2.12E-01		4.35E-02	CYP2S1	
Cellular hexose transport	2.23E-01		4.55E-02	SLC2A1	
Chaperone Mediated Autophagy	2.23E-01		4.55E-02	PLIN3	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	2.23E-01		4.55E-02	PRNP	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.23E-01		4.55E-02	CMPK1	
TCA Cycle II (Eukaryotic)	2.23E-01		4.55E-02	SDHA	
Antimicrobial peptides	2.25E-01		4.08E-02	S100A8,S100A9	
Co-stimulation by CD28	2.25E-01		4.08E-02	PAK1,PPP2R1A	
Branched-chain amino acid catabolism	2.36E-01		4.76E-02	ECHS1	
Citric acid cycle (TCA cycle)	2.36E-01		4.76E-02	SDHA	
Co-inhibition by CTLA4	2.36E-01		4.76E-02	PPP2R1A	
Formation of the ureteric bud	2.36E-01		4.76E-02	FOXC1	
Interleukin-2 family signaling	2.41E-01		4.26E-02	STAT3,SYNJ2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.41E-01		4.26E-02	IRF3,NFKBIB	
Meiosis Initiation Signaling Pathway	2.47E-01	0.0	4.08E-02	CCNE2,HDAC1,MTREX,RYBP	
Apelin Liver Signaling Pathway	2.49E-01		5.00E-02	MAPK8	
Class I peroxisomal membrane protein import	2.49E-01		5.00E-02	PEX19	
Valine Degradation I	2.49E-01		5.00E-02	ECHS1	
Arachidonate metabolism	2.5E-01		4.35E-02	CYP1B1,CYP4F11	
DNA damage-induced 14-3-3σ Signaling	2.5E-01		4.35E-02	CCNE2,CDKN1A	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	2.5E-01		4.35E-02	CCNF,SPP1	
Basal Cell Carcinoma Signaling	2.57E-01		4.23E-02	CTNNB1,FZD6,WNT7A	
Acetone Degradation I (to Methylglyoxal)	2.6E-01		4.44E-02	CYP1B1,CYP2S1	
SUMOylation of transcription cofactors	2.6E-01		4.44E-02	DDX17,TRIM28	
Serotonin Degradation	2.6E-01		4.17E-02	AKR1A1,ALDH1A1,ALDH1A3,EXT2	
NGF Signaling	2.62E-01	2.23606797749979	4.13E-02	KRAS,MAPK1,MAPK8,RRAS,RRAS2	
FOXO-mediated transcription	2.64E-01		5.26E-02	YWHAZ	
Modulation of host responses by IFN-stimulated genes	2.64E-01		5.26E-02	IFI27	
RUNX1 regulates megakaryocyte differentiation and platelet function	2.67E-01	-1.0	4.21E-02	H2AC20,H2BC9,HDAC1,THBS1	
G alpha (s) signalling events	2.69E-01	2.4494897427831783	4.14E-02	ADRB2,GNB1,GNB4,GNG12,GNG5,GRK3	
PI3K Cascade	2.7E-01		4.55E-02	FGFR1,IRS2	
Retinoid metabolism and transport	2.7E-01		4.55E-02	LDLR,RDH11	
Tuberculosis Active Signaling Pathway	2.7E-01	-1.2649110640673518	4.08E-02	GADD45A,HSPA9,IL1B,IRF3,JUN,MAPK1,MAPK8,PPP3R1,STAT3,TNFRSF8	
Macroautophagy	2.72E-01		4.35E-02	CHMP4A,GABARAPL2,MAP1LC3B	
Binding and Uptake of Ligands by Scavenger Receptors	2.74E-01	-0.4472135954999579	4.20E-02	CALR,COL4A1,COL4A2,FTH1,FTL	
Dermatan Sulfate Degradation (Metazoa)	2.79E-01		5.56E-02	GM2A	
Isoleucine Degradation I	2.79E-01		5.56E-02	ECHS1	
Metabolism of amine-derived hormones	2.79E-01		5.56E-02	DUOX1	
DAP12 interactions	2.8E-01		4.65E-02	HLA-B,KRAS	
Intrinsic Prothrombin Activation Pathway	2.8E-01		4.65E-02	KLK10,KLK5	
Transport of vitamins, nucleosides, and related molecules	2.8E-01		4.65E-02	SLC25A5,SLCO1B3	
Ribavirin ADME	2.89E-01		4.48E-02	PNP,STK10,STK4	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.89E-01		4.48E-02	IRF3,MAPK1,NFKBIB	
Formation of WDR5-containing histone-modifying complexes	2.9E-01		4.76E-02	MCRS1,ZZZ3	
Regulation of beta-cell development	2.9E-01		4.76E-02	HES1,MAML1	
NER (Nucleotide Excision Repair, Enhanced Pathway)	2.95E-01		4.40E-02	GPS1,NEDD8,POLD2,POLR2J2/POLR2J3	
Chondroitin Sulfate Degradation (Metazoa)	2.96E-01		5.88E-02	GM2A	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	2.96E-01		5.88E-02	SYNJ2	
Metabolism of Angiotensinogen to Angiotensins	2.96E-01		5.88E-02	CTSD	
Metabolism of nitric oxide: NOS3 activation and regulation	2.96E-01		5.88E-02	DDAH1	
Protein methylation	2.96E-01		5.88E-02	EEF2	
SUMOylation of DNA methylation proteins	2.96E-01		5.88E-02	DNMT1	
Specification of the neural plate border	2.96E-01		5.88E-02	CTNNB1	
RET signaling	3.01E-01		4.88E-02	IRS2,PRKACB	
tRNA processing in the mitochondrion	3.01E-01		4.88E-02	MT-TA,MT-TL1	
RAB GEFs exchange GTP for GDP on RABs	3.02E-01	-1.0	4.44E-02	RAB10,RAB31,RAB3GAP1,TRAPPC5	
Gene Silencing by RNA	3.04E-01	-0.8164965809277261	4.32E-02	AAAS,H2AC20,H2BC9,IPO8,NUP50,RANBP2	
Oxidative Ethanol Degradation III	3.06E-01		4.62E-02	ALDH1A1,ALDH1A3,CYP2S1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	3.06E-01		4.39E-02	CXCL1,IL18,IL1A,IL1B,MMP1	
B-WICH complex positively regulates rRNA expression	3.1E-01	-1.0	4.49E-02	ACTB,H2AC20,H2BC9,MYBBP1A	
Dopamine Degradation	3.13E-01		5.00E-02	ALDH1A1,ALDH1A3	
Caspase activation via Death Receptors in the presence of ligand	3.15E-01		6.25E-02	CFLAR	
Extrinsic Prothrombin Activation Pathway	3.15E-01		6.25E-02	F3	
FOXO-mediated transcription of cell death genes	3.15E-01		6.25E-02	DDIT3	
Glutaryl-CoA Degradation	3.15E-01		6.25E-02	CYP2S1	
Mismatch Repair	3.15E-01		6.25E-02	POLD2	
Platelet Adhesion to exposed collagen	3.15E-01		6.25E-02	ITGA2	
Xenobiotic Metabolism CAR Signaling Pathway	3.2E-01	-2.1213203435596424	4.27E-02	ALDH1A1,ALDH1A3,GSTP1,HS3ST1,HS6ST1,MAPK1,PPP2R1A,PPP2R2B,PTPA,RXRA	
DNA methylation	3.25E-01		4.76E-02	DNMT1,H2AC20,H2BC9	
Dermatan Sulfate Biosynthesis (Late Stages)	3.25E-01		4.76E-02	DSEL,HS3ST1,HS6ST1	
MSP-RON Signaling Pathway	3.35E-01		4.84E-02	ACTB,KLK10,KLK5	
Interleukin-15 signaling	3.35E-01		6.67E-02	STAT3	
Pentose phosphate pathway	3.35E-01		6.67E-02	G6PD	
Phosphorylation and nuclear translocation of the CRY:PER:kinase complex	3.35E-01		6.67E-02	CSNK1E	
Telomere Extension by Telomerase	3.35E-01		6.67E-02	RAD50	
YAP1- and WWTR1 (TAZ)-stimulated gene expression	3.35E-01		6.67E-02	CCN2	
GABA Receptor Signaling	3.36E-01		4.48E-02	GNB1,GNB1L,GNB4,GNG12,GNG5,ITPR2	
MIF-mediated Glucocorticoid Regulation	3.38E-01		5.26E-02	MAPK1,NFKBIB	
Metabolism of steroid hormones	3.38E-01		5.26E-02	HSD17B11,STARD4	
Methylglyoxal Degradation III	3.38E-01		5.26E-02	AKR1A1,AKR1C2	
Regulation of TP53 Expression and Degradation	3.38E-01		5.26E-02	CCNA1,PPP2R1A	
Resolution of Abasic Sites (AP sites)	3.38E-01		5.26E-02	POLD2,TDG	
TWEAK Signaling	3.38E-01		5.26E-02	BIRC3,NFKBIB	
Egg-Sperm Fusion Signaling Pathway	3.42E-01	0.4472135954999579	4.59E-02	ITPR2,PLCE1,PRKACB,PTPN1,YKT6	
Granulocyte Adhesion and Diapedesis	3.45E-01		4.39E-02	CD99,CLDN11,CLDN4,CXCL1,IL18,IL1A,IL1B,MMP1,MSN	
Retinoic acid Mediated Apoptosis Signaling	3.45E-01		4.92E-02	CFLAR,RARG,RXRA	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	3.49E-01	-2.4494897427831783	4.55E-02	CCNA1,CLSPN,H2BC9,POLD2,RAD50,SEM1	
Cilium Assembly	3.5E-01	-0.3333333333333333	4.41E-02	CEP290,CSNK1E,HAUS2,MAPRE1,PPP2R1A,TUBA1A,TUBB2A,TUBB4B,TUBB6	
Interferon Signaling	3.51E-01		5.41E-02	IFITM1,MX1	
E3 ubiquitin ligases ubiquitinate target proteins	3.55E-01		5.00E-02	H2BC9,HLA-B,PAF1	
DNA Double-Strand Break Repair by Homologous Recombination	3.57E-01		7.14E-02	RAD50	
DNA Double-Strand Break Repair by Non-Homologous End Joining	3.57E-01		7.14E-02	RAD50	
Regulation of TP53 Activity through Association with Co-factors	3.57E-01		7.14E-02	ZNF385A	
The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex	3.57E-01		7.14E-02	CSNK1E	
Tryptophan catabolism	3.57E-01		7.14E-02	SLC3A2	
Sphingolipid metabolism	3.58E-01	1.3416407864998738	4.67E-02	ARSI,GM2A,KDSR,SGMS1,SPTSSA	
Coagulation System	3.79E-01		5.71E-02	F3,PLAU	
Late endosomal microautophagy	3.79E-01		5.71E-02	CHMP4A,PLIN3	
Nuclear RNA decay	3.79E-01		5.71E-02	EXOSC4,MTREX	
Cleavage and Polyadenylation of Pre-mRNA	3.81E-01		7.69E-02	WDR33	
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	3.81E-01		7.69E-02	STAT3	
Passive transport by Aquaporins	3.81E-01		7.69E-02	AQP3	
Trafficking and processing of endosomal TLR	3.81E-01		7.69E-02	CTSB	
Transcriptional regulation of testis differentiation	3.81E-01		7.69E-02	SOX9	
Kinetochore Metaphase Signaling Pathway	3.82E-01	1.0	4.81E-02	AURKB,CDC20,H2AC20,PTTG1,ZWINT	
NoRC negatively regulates rRNA expression	3.82E-01	-1.3416407864998738	4.81E-02	DNMT1,H2AC20,H2BC9,HDAC1,SAP30L	
CD27 Signaling in Lymphocytes	4E-01		5.36E-02	JUN,MAPK8,NFKBIB	
Interleukin-3, Interleukin-5 and GM-CSF signaling	4E-01		5.36E-02	CBL,SYNJ2,YWHAZ	
Th1 Pathway	4.02E-01	0.8164965809277261	4.80E-02	DLL1,HLA-B,IL18,NOTCH3,SOCS3,STAT3	
Butyrophilin (BTN) family interactions	4.07E-01		8.33E-02	XDH	
GP1b-IX-V activation signalling	4.07E-01		8.33E-02	YWHAZ	
HDR through MMEJ (alt-NHEJ)	4.07E-01		8.33E-02	RAD50	
Hematopoiesis from Multipotent Stem Cells	4.07E-01		8.33E-02	KITLG	
Ketogenesis	4.07E-01		8.33E-02	HMGCS1	
Peptide hormone biosynthesis	4.07E-01		8.33E-02	INHBA	
Specification of primordial germ cells	4.07E-01		8.33E-02	PDPN	
SUMOylation of DNA damage response and repair proteins	4.09E-01	-1.0	5.13E-02	AAAS,NUP50,RANBP2,TDG	
Glutathione Redox Reactions I	4.1E-01		6.06E-02	GSTP1,PTGES	
Role of Cytokines in Mediating Communication between Immune Cells	4.13E-01		5.45E-02	IL18,IL1A,IL1B	
Retinol Biosynthesis	4.25E-01		5.56E-02	DHRS3,ESD,RDH11	
UVB-Induced MAPK Signaling	4.25E-01		5.56E-02	JUN,MAPK1,MAPK8	
Endosomal Sorting Complex Required For Transport (ESCRT)	4.26E-01		6.25E-02	CHMP4A,VPS4A	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.36E-01		5.10E-02	ACTB,CD83,HLA-B,IL18,TLN2	
Alpha-protein kinase 1 signaling pathway	4.37E-01		9.09E-02	TAB3	
Glucose and Glucose-1-phosphate Degradation	4.37E-01		9.09E-02	HKDC1	
Metallothioneins bind metals	4.37E-01		9.09E-02	MT2A	
Pentose Phosphate Pathway	4.37E-01		9.09E-02	G6PD	
Pexophagy	4.37E-01		9.09E-02	MAP1LC3B	
Spliceosomal Cycle	4.38E-01		5.66E-02	EIF4A3,RBM8A,SF3A3	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	4.44E-01		6.45E-02	DLG1,EPB41L1	
Macrophage Classical Activation Signaling Pathway	4.51E-01	0.7071067811865475	4.79E-02	IL18,IL1A,IL1B,IRF3,NFKBIB,RBBP7,SDHA,SOCS3,STAT3	
Th2 Pathway	4.59E-01	1.1338934190276817	4.96E-02	DLL1,HLA-B,JAG1,JUN,NOTCH3,SOCS3,TGFBR2	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	4.62E-01		6.67E-02	HDAC1,SMAD3	
Regulation of CDH11 Expression and Function	4.62E-01		6.67E-02	CTNNB1,ILF3	
mRNA Capping	4.62E-01		6.67E-02	GTF2F2,SUPT5H	
Calcium Transport I	4.7E-01		1.00E-01	ANXA5	
Caspase activation via Dependence Receptors in the absence of ligand	4.7E-01		1.00E-01	APPL1	
Creatine metabolism	4.7E-01		1.00E-01	SLC6A8	
GDP-glucose Biosynthesis	4.7E-01		1.00E-01	HKDC1	
Interleukin-9 signaling	4.7E-01		1.00E-01	STAT3	
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	4.7E-01		1.00E-01	DKK1	
Amyotrophic Lateral Sclerosis Signaling	4.71E-01	2.23606797749979	5.13E-02	BIRC3,CAPN2,PAK1,SSR4,VEGFA,VEGFC	
Dopamine Receptor Signaling	4.76E-01		5.56E-02	PPP2R1A,PPP2R2B,PRKACB,PTPA	
PRC2 methylates histones and DNA	4.76E-01	-1.0	5.56E-02	DNMT1,H2AC20,H2BC9,RBBP7	
Gluconeogenesis I	4.81E-01		6.90E-02	GAPDH,GPI	
Myogenesis	4.81E-01		6.90E-02	CDH2,CTNNB1	
Processing of Capped Intronless Pre-mRNA	4.81E-01		6.90E-02	SNRPD3,WDR33	
Cohesin Chromatin Regulation Pathway	4.82E-01	-0.5773502691896258	4.68E-02	AURKB,CBX5,FAT2,H2AC20,H2BC9,NCAPD2,PCDH1,PCDH7,POLR2J2/POLR2J3,PPP2R1A,PPP2R2B,PTPA,PTTG1,SGO1	
Nucleosome assembly	4.88E-01	0.0	5.63E-02	H2AC20,H2BC9,HJURP,RBBP7	
Atherosclerosis Signaling	4.93E-01		5.11E-02	F3,IL18,IL1A,IL1B,MMP1,PDGFA,S100A8	
Acetylcholine Receptor Signaling Pathway	4.94E-01	1.414213562373095	4.88E-02	ADAM9,CALM2,CALML5,ITPR2,KEAP1,MAPK1,PLCB3,PLCD3,PLCE1,PRKACB	
Adrenergic Receptor Signaling Pathway (Enhanced)	4.94E-01	0.0	4.88E-02	ADRB2,BDNF,IL18,IL1A,IL1B,ITPR2,PLCB3,PLCD3,PLCE1,PRKACB	
Pyruvate metabolism	4.95E-01		6.12E-02	GLO1,PDP1,RANBP9	
Protein Sorting Signaling Pathway	4.95E-01	0.3333333333333333	4.95E-02	AP1S3,AP3S1,ARF1,CLINT1,COPZ2,PRKACB,RAB11B,SERPINH1,TMED9	
Glycolysis I	5.02E-01		7.14E-02	GAPDH,GPI	
Atorvastatin ADME	5.07E-01		1.11E-01	SLCO1B3	
Heme Biosynthesis II	5.07E-01		1.11E-01	CPOX	
Lipophagy	5.07E-01		1.11E-01	PLIN3	
RHO GTPases Activate Rhotekin and Rhophilins	5.07E-01		1.11E-01	RHOB	
Sensory processing of sound by inner hair cells of the cochlea	5.13E-01	0.0	5.80E-02	ACTB,EPB41L1,EPS8L2,MSN	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.21E-01		5.22E-02	C1R,HLA-B,KLK10,KLK5,PRKACB,TMPRSS11E,TMPRSS4	
The Visual Cycle	5.23E-01		7.41E-02	DHRS3,RDH11	
Lysosome Positioning Signaling Pathway	5.23E-01	-0.7071067811865475	5.13E-02	ACTB,BORCS7,FGFR1,GNB1L,IGF1R,MAPK1,PPP3R1,TGFBR2	
Vitamin K Signaling Pathway	5.27E-01	1.0	5.88E-02	ASPH,GAS6,PRKACB,RXRA	
RNA Polymerase I Transcription	5.3E-01	-0.8164965809277261	5.41E-02	CAVIN1,CHD3,H2AC20,H2BC9,HDAC1,RBBP7	
ERBB4 Signaling	5.4E-01	2.0	5.97E-02	KRAS,MAPK1,RRAS,RRAS2	
Th1 and Th2 Activation Pathway	5.43E-01		5.11E-02	DLL1,HLA-B,IL18,JAG1,JUN,NOTCH3,SOCS3,STAT3,TGFBR2	
Apelin Pancreas Signaling Pathway	5.43E-01		6.52E-02	DDIT3,MAPK8,PRKACB	
IL-23 Signaling Pathway	5.43E-01		6.52E-02	IL1B,SOCS3,STAT3	
Role of IL-17F in Allergic Inflammatory Airway Diseases	5.43E-01		6.52E-02	CXCL1,IL1B,MAPK1	
Ethanol Degradation IV	5.46E-01		7.69E-02	ALDH1A1,ALDH1A3	
Signaling by Erythropoietin	5.46E-01		7.69E-02	IRS2,KRAS	
NFE2L2 regulates pentose phosphate pathway genes	5.5E-01		1.25E-01	G6PD	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	5.5E-01		1.25E-01	PNP	
Sphingomyelin Metabolism	5.5E-01		1.25E-01	SGMS1	
TRAIL signaling	5.5E-01		1.25E-01	CFLAR	
γ-glutamyl Cycle	5.5E-01		1.25E-01	GGCT	
Nucleotide Excision Repair	5.51E-01	-1.6329931618554523	5.50E-02	ACTB,GPS1,INO80B,MCRS1,POLD2,RAD23A	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.54E-01	1.0	6.06E-02	IRF3,JUN,MAPK8,NFKBIB	
Induction of Apoptosis by HIV1	5.54E-01		6.06E-02	BIRC3,MAPK8,NFKBIB,SLC25A5	
Cardiac conduction	5.59E-01	-0.3779644730092272	5.38E-02	AHCYL1,ASPH,ATP1B3,FXYD3,ITPR2,RYR1,SLC8A1	
G alpha (q) signalling events	5.6E-01	2.3333333333333335	5.17E-02	F2RL1,GNB1,GNB4,GNG12,GNG5,LPAR1,NMB,NTSR1,PLCB3	
FGF Signaling	5.69E-01	2.23606797749979	5.81E-02	FGFR1,MAPK1,MAPK8,MET,STAT3	
Bupropion Degradation	5.7E-01		8.00E-02	CYP1B1,CYP2S1	
Mitochondrial RNA degradation	5.7E-01		8.00E-02	REXO2,TBRG4	
Signaling by NTRK2 (TRKB)	5.7E-01		8.00E-02	BDNF,KRAS	
BER (Base Excision Repair) Pathway	5.79E-01		6.82E-02	HMGB1,MAPK1,TDG	
Axonal Periodic Cytoskeleton Signaling Pathway	5.81E-01	1.3416407864998738	5.88E-02	ACTB,CAPN2,CORO1C,MAPK1,MYH10	
Role of MAPK Signaling in the Pathogenesis of Influenza	5.81E-01		5.88E-02	KRAS,MAPK1,MAPK8,RRAS,RRAS2	
Cytosolic sensors of pathogen-associated DNA	5.83E-01	0.0	6.25E-02	CTNNB1,DDX41,IRF3,NFKBIB	
Triacylglycerol Biosynthesis	5.98E-01		6.35E-02	AGPAT5,LPCAT2,MBOAT2,SIRT2	
Arsenate Detoxification I (Glutaredoxin)	5.99E-01		1.43E-01	PNP	
Epithelial-Mesenchymal Transition (EMT) during gastrulation	5.99E-01		1.43E-01	FGFR1	
Fructose metabolism	5.99E-01		1.43E-01	ALDH1A1	
Regulation of CDH19 Expression and Function	5.99E-01		1.43E-01	CTNNB1	
TYSND1 cleaves peroxisomal proteins	5.99E-01		1.43E-01	SCP2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	6E-01	0.8164965809277261	5.56E-02	GNG12,GNG5,ITPR2,PLCB3,PLCD3,PLCE1,PRKACB	
RNA polymerase II transcribes snRNA genes	6.07E-01	-1.3416407864998738	6.02E-02	CCNT2,GTF2F2,NABP2,SUPT5H,ZC3H8	
Antioxidant Action of Vitamin C	6.11E-01	0.0	5.60E-02	MAPK1,MAPK8,NFKBIB,PLCB3,PLCD3,PLCE1,SLC2A1	
Oxidative Stress Induced Senescence	6.11E-01	1.1338934190276817	5.60E-02	H2AC20,H2BC9,JUN,MAP4K4,MAPK1,MAPK8,RBBP7	
Kinesins	6.14E-01	0.0	6.45E-02	TUBA1A,TUBB2A,TUBB4B,TUBB6	
CREB Signaling in Neurons	6.15E-01	2.836832573067901	4.67E-02	ADRB2,CALM2,CALML5,F2RL1,FGFR1,FZD6,GNB1,GNB1L,GNB4,GNG12,GNG5,GPR153,IGF1R,ITPR2,KRAS,LGR4,LPAR1,MAPK1,NTSR1,PLCB3,PLCD3,PLCE1,POLR2J2/POLR2J3,PRKACB,RRAS,RRAS2,TGFA,TGFBR2,VEGFA	
Histamine Degradation	6.22E-01		8.70E-02	ALDH1A1,ALDH1A3	
NAD Salvage Pathway II	6.22E-01		8.70E-02	NT5C3A,NT5E	
Signaling by NODAL	6.22E-01		8.70E-02	MAPK1,SMAD3	
Telomere Maintenance	6.22E-01	-2.6457513110645903	5.65E-02	CCNA1,DKC1,DSCC1,H2AC20,H2BC9,POLD2,RUVBL2	
Pyroptosis Signaling Pathway	6.32E-01	0.8164965809277261	5.88E-02	HMGB1,IL18,IL1A,IL1B,MAPK1,PRKACB	
DAG and IP3 signaling	6.36E-01		7.32E-02	AHCYL1,ITPR2,PRKACB	
Salvage Pathways of Pyrimidine Ribonucleotides	6.44E-01	0.8164965809277261	5.94E-02	CMPK1,CSNK1A1,MAPK1,MAPK6,MAPK8,PAK1	
GABA receptor activation	6.47E-01	2.0	6.67E-02	GNB1,GNB4,GNG12,GNG5	
Visual phototransduction	6.47E-01	0.0	6.67E-02	DHRS3,GNB1,METAP2,RDH11	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	6.49E-01	2.23606797749979	6.25E-02	IL1B,JUN,MAPK1,MAPK8,NFKBIB	
Fatty Acid α-oxidation	6.5E-01		9.09E-02	ALDH1A1,ALDH1A3	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	6.5E-01		9.09E-02	IMPA2,SYNJ2	
Mitophagy	6.57E-01		7.50E-02	MAP1LC3B,TOMM7,UBE2V1	
Transcriptional Regulation by VENTX	6.57E-01		7.50E-02	CEBPB,CTNNB1,UBE2S	
Acyl-CoA Hydrolysis	6.58E-01		1.67E-01	ACOT9	
Arginine Biosynthesis IV	6.58E-01		1.67E-01	GLUD1	
GDP-mannose Biosynthesis	6.58E-01		1.67E-01	GPI	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	6.58E-01		1.67E-01	SARS2	
Trehalose Degradation II (Trehalase)	6.58E-01		1.67E-01	HKDC1	
Zymosterol Biosynthesis	6.58E-01		1.67E-01	MSMO1	
Signaling by ERBB4	6.64E-01	2.0	6.78E-02	HBEGF,ITCH,KRAS,STMN1	
IL-7 Signaling Pathway	6.64E-01	0.4472135954999579	6.33E-02	IL7R,JUN,MAPK1,MET,SLC2A1	
TREM1 Signaling	6.64E-01	2.23606797749979	6.33E-02	CD83,IL18,IL1B,MAPK1,STAT3	
Fc Epsilon RI Signaling	6.68E-01	1.889822365046136	5.83E-02	KRAS,MAPK1,MAPK8,RAC2,RRAS,RRAS2,SYNJ2	
Nitric Oxide Signaling in the Cardiovascular System	6.68E-01	2.23606797749979	5.83E-02	CALM2,CALML5,ITPR2,MAPK1,PRKACB,VEGFA,VEGFC	
Mitotic Prophase	6.69E-01	-1.414213562373095	5.67E-02	AAAS,H2AC20,H2BC9,LMNA,MAPK1,NUP50,PPP2R1A,RANBP2	
Melanocyte Development and Pigmentation Signaling	6.7E-01	1.6329931618554523	6.06E-02	KITLG,KRAS,MAPK1,PRKACB,RRAS,RRAS2	
FLT3 Signaling	6.79E-01		7.69E-02	ABL2,CBL,KRAS	
Formation of Fibrin Clot (Clotting Cascade)	6.79E-01		7.69E-02	F3,PROCR,SERPINE2	
MAP kinase activation	6.79E-01		7.69E-02	MAPK8,TAB3,UBE2V1	
Noradrenaline and Adrenaline Degradation	6.79E-01		7.69E-02	AKR1A1,ALDH1A1,ALDH1A3	
SUMOylation of ubiquitinylation proteins	6.79E-01		7.69E-02	AAAS,NUP50,RANBP2	
GABAergic Receptor Signaling Pathway (Enhanced)	6.8E-01	-0.3779644730092272	5.71E-02	GLUD1,GNB1,GNB1L,GNB4,GNG12,GNG5,ITPR2,PRKACB	
Bile Acid Biosynthesis, Neutral Pathway	6.81E-01		9.52E-02	AKR1C2,SCP2	
Synaptic adhesion-like molecules	6.81E-01		9.52E-02	DLG1,RTN3	
