© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C2C4_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C2C4_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603414

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C2C4_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Acetone Degradation I (to Methylglyoxal)	-0E00		2.22E-02	CYP1B1	
Actin Nucleation by ARP-WASP Complex	-0E00		2.20E-02	ITGB1,RHOD	
Adrenergic Receptor Signaling Pathway (Enhanced)	-0E00	0.0	1.95E-02	ATP6V0C,COMT,PLCD3,PRKCA	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00		8.77E-03	MMP1	
Allograft Rejection Signaling	-0E00		6.07E-03	B2M,HLA-C,HLA-E	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		7.03E-03	CCNA1,PABPC1,TGFBR2	
Apelin Pancreas Signaling Pathway	-0E00		2.17E-02	MAPK9	
Aspirin ADME	-0E00		2.27E-02	BSG	
Autoimmune Thyroid Disease Signaling	-0E00		4.30E-03	HLA-C,HLA-E	
B Cell Receptor Signaling	-0E00	1.6666666666666667	1.56E-02	ATF4,BAD,CALML5,CAMK2G,CFL1,EGR1,MAPK9,NFKBIA,PPP3CA,PTK2	
BBSome Signaling Pathway	-0E00	-0.4472135954999579	1.22E-02	ADGRG1,EED,F2RL1,GPR153,INSR,MKKS	
BMP signaling pathway	-0E00		2.22E-02	FST,MAPK9	
CCR5 Signaling in Macrophages	-0E00		7.97E-03	CALML5,GNB4,MAPK9,PRKCA	
CD28 Signaling in T Helper Cells	-0E00		9.56E-03	CALML5,MAPK9,NFKBIA,PAK1,PPP3CA	
CDC42 Signaling	-0E00	0.8164965809277261	1.55E-02	B2M,CFL1,DIAPH1,HLA-C,HLA-E,ITGB1,MAPK9,PAK1,PPP1CB	
CDX Gastrointestinal Cancer Signaling Pathway	-0E00	0.0	2.03E-02	CCND1,EFNB1,KLF5,PNN	
CNTF Signaling	-0E00		1.79E-02	RPS6KA4	
CREB Signaling in Neurons	-0E00	0.6324555320336759	2.25E-02	ADGRG1,ATF4,CALML5,CAMK2G,F2RL1,FGFR3,GNB4,GPR153,INSR,PLCD3,POLR2J2/POLR2J3,POLR2L,PRKCA,TGFBR2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	-2.82842712474619	1.64E-02	AHR,B2M,CLTB,FYB1,HLA-C,HLA-E,ITGB1,MAPK9,PPP2R1A,PTPA	
Calcium-induced T Lymphocyte Apoptosis	-0E00		8.58E-03	CALML5,CAPN2,PPP3CA,PRKCA	
Cardiac Conduction Signaling Pathway	-0E00		1.74E-02	SMARCD2,YAP1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	0.0	2.58E-02	CALML5,CAMK2G,DIAPH1,EIF4EBP1,FGFR3,GNB4,HSPB1,ITGB1,MAPK9,PLCD3,PPP3CA,PRKCA,PTK2,TGFBR2	
Cardiac Valve Formation Signaling Pathway	-0E00	-2.0	2.16E-02	CALML5,PPP3CA,TFAP2A,TGFBR2	
Cardiac conduction	-0E00		1.54E-02	CAMK2G,FXYD3	
Cardiac β-adrenergic Signaling	-0E00		2.37E-02	GNB4,PPP1CB,PPP2R1A,PTPA	
Cellular Effects of Sildenafil (Viagra)	-0E00	1.0	2.49E-02	ADGRG1,ATF4,CALML5,CAPN2,F2RL1,FADD,GNB4,GPR153,ID1,MAPK9,MYH9,NFKBIA,PPP1CB,PPP2R1A,PPP3CA,PTPA,TGFBR2	
Chondroitin Sulfate Biosynthesis	-0E00		1.35E-02	CHST12	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		1.52E-02	CHST12	
Class A/1 (Rhodopsin-like receptors)	-0E00	-0.4472135954999579	1.51E-02	APP,F2RL1,GAL,NMB,PSAP	
Class B/2 (Secretin family receptors)	-0E00		2.11E-02	CD55,GNB4	
Colorectal Cancer Metastasis Signaling	-0E00	0.0	2.58E-02	BAD,CCND1,GNB4,MAPK9,MMP1,RHOD,TGFBR2	
Communication between Innate and Adaptive Immune Cells	-0E00		3.19E-03	B2M,HLA-C,HLA-E	
Complement System	-0E00		2.56E-02	CD55	
Complement cascade	-0E00		1.44E-02	CD55,CD81	
Corticotropin Releasing Hormone Signaling	-0E00		2.58E-02	ATF4,CALML5,JUND,PRKCA	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		9.35E-03	B2M,FADD,HLA-C,HLA-E	
Dendritic Cell Maturation	-0E00	1.6329931618554523	1.14E-02	ATF4,B2M,HLA-C,HLA-E,MAPK9,NFKBIA,PLCD3	
Dermatan Sulfate Biosynthesis	-0E00		1.32E-02	CHST12	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00		1.59E-02	CHST12	
Elastic fibre formation	-0E00		2.27E-02	ITGB1	
Endocannabinoid Neuronal Synapse Pathway	-0E00		2.55E-02	GNB4,MAPK9,PLCD3,PPP3CA	
Erythropoietin Signaling Pathway	-0E00	0.0	2.22E-02	BAD,CCND1,NFKBIA,PRKCA	
Estrogen-Dependent Breast Cancer Signaling	-0E00		2.44E-02	ATF4,CCND1	
Exocyst Signaling Pathway	-0E00	-1.3416407864998738	9.03E-03	GPAA1,INSR,IRF3,PRKCA,YKT6	
FAK Signaling	-0E00	-0.8320502943378437	1.26E-02	ADGRG1,AGO2,BAD,CAPN2,CCND1,EFNB1,F2RL1,GPR153,ITGB1,MAPK9,PAK1,PTK2,TGFBR2	
Factors involved in megakaryocyte development and platelet production	-0E00		1.85E-02	EHD2,H3-3B	
Fc Epsilon RI Signaling	-0E00		1.67E-02	MAPK9,PRKCA	
Fcgamma receptor (FCGR) dependent phagocytosis	-0E00	0.0	2.38E-02	CFL1,MYH9,MYO1C,PAK1	
FcγRIIB Signaling in B Lymphocytes	-0E00		1.88E-03	MAPK9	
Folate Signaling Pathway	-0E00		1.75E-02	CDKN1A	
