© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C1C4_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C1C4_vs_MPV_lfc
Date	Mon Aug 10 09:59:06 PDT 2026
Analysis ID	43603594

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C1C4_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Abacavir ADME	-0E00		1.49E-02	ABCG2	
Activation of anterior HOX genes in hindbrain during early embryogenesis	-0E00		2.48E-02	POLR2B,POLR2L,SUZ12	
Activin Inhibin Signaling Pathway	-0E00	0.4472135954999579	2.35E-02	CCN2,FST,IKBKG,PNPLA2,TRAF2	
Adrenergic Receptor Signaling Pathway (Enhanced)	-0E00	2.0	1.95E-02	ATP6AP1,ATP6V0D1,CATSPER1,ITPR3	
Agranulocyte Adhesion and Diapedesis	-0E00		2.22E-02	CCRL2,ICAM1,ICAM2,MYL9,SDC4	
Allograft Rejection Signaling	-0E00		4.05E-03	HLA-DMA,HLA-E	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		2.12E-03	CSF1,HLA-DMA	
Amyloid Processing	-0E00		1.92E-02	CSNK1A1	
Amyloid fiber formation	-0E00		2.42E-02	CST3,H2AZ1,TGFBI	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		7.03E-03	DPP7,PABPC1,SKP1	
Apoptotic execution phase	-0E00		1.92E-02	LMNA	
Aspirin ADME	-0E00		2.27E-02	BSG	
Autoimmune Thyroid Disease Signaling	-0E00		4.30E-03	HLA-DMA,HLA-E	
Axonal Periodic Cytoskeleton Signaling Pathway	-0E00		2.35E-02	CORO1C,TMOD3	
B Cell Development	-0E00		2.04E-03	HLA-DMA	
B Cell Receptor Signaling	-0E00	1.0690449676496976	2.50E-02	ATF4,BAD,CALM2,CALM3,CFL1,CFL2,CREB3,CSK,FOXO1,HRAS,IKBKG,MAP3K11,NFATC2,NFKBIE,PPP3CA,RRAS	
