© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C6C7_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C6C7_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603415

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C6C7_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Chromatin modifications during the maternal to zygotic transition (MZT)	-0E00		1.45E-02	H2BC9	
Class A/1 (Rhodopsin-like receptors)	-0E00	0.5773502691896258	3.61E-02	ACKR3,C3,CXCL16,CXCL8,ECE2,EDN1,HCAR2,LPAR1,NMU,PSAP,S1PR1,S1PR5	
Collagen chain trimerization	-0E00		4.55E-02	COL5A2,COL9A2	
Communication between Innate and Adaptive Immune Cells	-0E00	2.1213203435596424	9.56E-03	B2M,CXCL8,HLA-A,HLA-B,HLA-C,HLA-F,IL18,IL1RN,MR1	
Complement cascade	-0E00	0.4472135954999579	3.60E-02	C1R,C3,CD46,CD55,CD59	
Corticotropin Releasing Hormone Signaling	-0E00	1.889822365046136	8.39E-02	ARPC5,CACNB3,CALM1,CALM3,CALML5,GNAI1,GNAQ,GNAS,PRKACA,PRKD3,PTGS2,SLC39A7,SMO	
Cytosolic iron-sulfur cluster assembly	-0E00		7.69E-02	ERCC2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	2.0	2.34E-02	B2M,BID,CASP7,DFFA,FAS,HLA-A,HLA-B,HLA-C,HLA-F,MR1	
DAG and IP3 signaling	-0E00		7.32E-02	CALM1,CAMK2G,PRKACA	
DNA methylation	-0E00		1.59E-02	H2BC9	
Defensins	-0E00		2.22E-02	PRSS3	
Dendritic Cell Maturation	-0E00	2.836832573067901	3.58E-02	AKT2,B2M,FSCN1,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F,IKBKE,IL18,IL1RN,MAPK9,MR1,MYD88,NFKBIA,NFKBIB,PIK3C2B,PIK3C3,PLCE1,REL,RELA,STAT1	
Dermatan Sulfate Biosynthesis	-0E00	-1.0	6.58E-02	CHPF,CHST11,DSEL,HS3ST1,HS6ST1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	-1.0	6.35E-02	CHST11,DSEL,HS3ST1,HS6ST1	
Dolichyl-diphosphooligosaccharide Biosynthesis	-0E00		7.69E-02	ALG8	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	-0E00		4.05E-02	GATAD2A,H2BC9,RBBP7	
Effects of PIP2 hydrolysis	-0E00		3.70E-02	DGKG	
Endocannabinoid Neuronal Synapse Pathway	-0E00	0.6324555320336759	7.64E-02	CACNB3,GNA15,GNAI1,GNAQ,GNB4,GNG12,MAPK6,MAPK9,NDUFS2,PLCE1,PRKACA,PTGS2	
Erythrocytes take up carbon dioxide and release oxygen	-0E00		7.69E-02	CYB5R1	
Estrogen Biosynthesis	-0E00		7.69E-02	AKR1C2,AKR1C3,CYP1B1,HSD17B11	
Exocyst Signaling Pathway	-0E00	-1.3416407864998738	3.61E-02	ACTR2,AKT2,ARF6,ARHGEF2,ARPC4,ARPC5,ARPC5L,CDC42,CDH1,EXOC5,GOSR2,INSR,IRF3,PRKD3,RALA,RALB,VAMP2,VTI1B,WASF2,YKT6	
Extrinsic Prothrombin Activation Pathway	-0E00		6.25E-02	F3	
FAK Signaling	-0E00	0.8682431421244593	6.28E-02	ACKR3,ACTR2,ADGRG1,ADGRL1,AGO2,AKT2,ARPC4,ARPC5,ARPC5L,ASAP1,BCAR3,CCND1,CDH1,CTNNB1,EFNA1,EFNB1,ELF3,ETS1,ETV4,FZD8,GPR153,GPR161,GPR87,GPRC5A,HCAR2,IFNLR1,IGF1R,IL20RB,ITGA2,ITGA3,ITGA5,ITGA6,ITGAE,ITGAV,ITGB5,ITGB8,KRAS,LPAR1,MAPK9,MDM2,MYC,NCK1,NCK2,NEDD9,PAK1,PAK2,PIK3C2B,PIK3C3,PTK2,PXN,RALA,RALB,RAP2B,RB1CC1,RRAS,RRAS2,S1PR1,S1PR5,SHB,SMO,SOCS4,SOS1,TCF7L1,TGFBR2,TP53	
FGF Signaling	-0E00	2.6457513110645903	8.14E-02	AKT2,FGFR3,MAP2K6,PIK3C2B,PIK3C3,SOS1,STAT3	
FOXO-mediated transcription of cell death genes	-0E00		6.25E-02	FOXO1	
Fatty Acid Activation	-0E00		6.67E-02	SLC27A5	
FcγRIIB Signaling in B Lymphocytes	-0E00	1.507556722888818	2.25E-02	CACNB3,KRAS,MAPK9,PIK3C2B,PIK3C3,RALA,RALB,RAP2B,RRAS,RRAS2,SHC1,SOS1	
Fertilization	-0E00		3.85E-02	CD9	
Formation of Fibrin Clot (Clotting Cascade)	-0E00		2.56E-02	F3	
Formation of WDR5-containing histone-modifying complexes	-0E00		7.14E-02	BOD1,PHF20,PSIP1	
G Protein Signaling Mediated by Tubby	-0E00	0.8320502943378437	2.98E-02	FYB1,GNA13,GNA15,GNAI1,GNAQ,GNAS,GNB4,GNG12,INSR,MYC,NAMPT,NCK1,OIP5-AS1,VAV2	
G alpha (i) signalling events	-0E00	2.5	6.20E-02	ACKR3,C3,CXCL16,CXCL8,GNAI1,GNAS,GNB4,GNG12,HCAR2,LPAR1,NMU,PSAP,RGS10,RGS20,RGS3,S1PR5	
G alpha (q) signalling events	-0E00	0.3333333333333333	5.17E-02	EDN1,GNA15,GNAQ,GNB4,GNG12,LPAR1,NMU,RGS2,RGS3	
G alpha (s) signalling events	-0E00	2.3333333333333335	6.21E-02	GNAI1,GNAS,GNB4,GNG12,GRK3,PDE4A,PDE7A,PTH2R,PTHLH	
GABA receptor activation	-0E00	2.0	6.67E-02	GNAI1,GNB4,GNG12,NPTN	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00	1.0	7.14E-02	CACNB3,GLUD1,GLUL,GNAI1,GNB4,GNG12,NLGN2,NLGN4X,NRXN2,PRKACA	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	0.0	7.23E-02	GNA15,GNAI1,GNAQ,GNAS,PLCE1,PRKACA	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	1.6666666666666667	7.14E-02	CACNB3,GNA15,GNAI1,GNAQ,GNAS,GNG12,PLCE1,PRKACA,PRKD3	
GPVI-mediated activation cascade	-0E00		5.71E-02	CDC42,VAV2	
Generic Transcription Pathway	-0E00	-1.671258043593467	6.76E-02	MED10,MED30,MED31,NCOR2,NOTCH3,NR1D2,RARG,RXRA,SNW1,TBL1XR1,TRIM28,ZNF160,ZNF324,ZNF426,ZNF473,ZNF480,ZNF544,ZNF551,ZNF556,ZNF583,ZNF584,ZNF611,ZNF616,ZNF649,ZNF664,ZNF675,ZNF704,ZNF770,ZNF772	
Glutaminergic Receptor Signaling Pathway (Enhanced)	-0E00	2.2936585546278225	8.08E-02	AKT2,CACNB3,CALM1,CALM3,CALML5,CAMK2G,DGKG,FMR1,GLUD1,GLUL,GNAI1,GNAQ,GNAS,GOSR2,IKBKE,PIK3C2B,PIK3C3,PLA2G4A,PLAAT3,PLCE1,PLD3,PRKACA,PRKD3,SLC7A11,VAMP2,VTI1B,YKT6	
Glutaryl-CoA Degradation	-0E00		6.25E-02	L3HYPDH	
Glutathione-mediated Detoxification	-0E00		7.69E-02	GGH,LANCL1,MGST2,MGST3	
Glycogen Degradation III	-0E00		7.69E-02	PYGB	
Graft-versus-Host Disease Signaling	-0E00		1.78E-02	FAS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F,IL18,IL1RN	
Granulocyte Adhesion and Diapedesis	-0E00		6.83E-02	ACKR3,C3,CKLF,CLDN1,CLDN11,CXCL16,CXCL8,EZR,GNAI1,IL18,IL1RN,MMP1,MMP28,RDX	
Gustation Pathway	-0E00	2.0	1.90E-02	CACNB3,LIPA,LRRC8D,PRKACA	
Gαs Signaling	-0E00	2.0	7.87E-02	GNA13,GNA15,GNAI1,GNAQ,GNAS,GNB4,GNG12,HCAR2,PRKACA,RGS2	
Hematopoiesis from Pluripotent Stem Cells	-0E00		2.22E-03	CXCL8	
Heparan Sulfate Biosynthesis	-0E00		5.66E-02	ADPRS,ALDH2,CHST11,HS3ST1,HS6ST1,LARS1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00		6.06E-02	ADPRS,ALDH2,CHST11,HS3ST1,HS6ST1,LARS1	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	2.5298221281347035	3.31E-02	AKT2,CALM1,CALM3,CALML5,CAMK2G,HLA-A,HLA-B,HLA-DMA,IKBKE,NFKBIA,NFKBIB,PIK3C2B,PIK3C3,PLEKHA1,REL,RELA,SHC1	
ID3 Signaling Pathway	-0E00	0.7276068751089989	1.86E-02	AKT2,ANAPC16,BMP4,CDC16,CDKN1A,CXCL8,ID3,KRAS,MYC,RALA,RALB,RAP2B,RRAS,RRAS2,SMAD6,SMAD9,TCF12,TCF7L1	
IL-15 Signaling	-0E00	0.5345224838248488	2.85E-02	AKT2,CXCL8,KRAS,MYC,PIK3C2B,PIK3C3,RALA,RALB,RAP2B,REL,RELA,RRAS,RRAS2,SHC1,STAT3	
IL-4 Signaling	-0E00	0.6	4.34E-02	AKT2,ANO1,COL5A2,COL9A2,FAS,GATA3,GNAI1,HLA-DMA,IRS1,IRS2,KRAS,MAOA,MAPKAP1,PIK3C2B,PIK3C3,RALA,RALB,RAP2B,RPS6KA1,RRAS,RRAS2,SOS1,STAT3,TGM2,TIMP3	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	2.138089935299395	2.31E-02	B2M,C3,CDH1,CLEC2D,CXADR,HLA-A,HLA-B,HLA-C,HLA-F,HLA-H,ITGA2,ITGA3,MICB,PVR	
Incretin synthesis, secretion, and inactivation	-0E00		8.00E-02	CTNNB1,PAX6	
Interleukin-7 signaling	-0E00		7.32E-02	IRS1,IRS2,STAT3	
Intrinsic Prothrombin Activation Pathway	-0E00		4.65E-02	KLK10,KLK5	
Irritable Bowel Syndrome Signaling Pathway	-0E00	0.4472135954999579	6.92E-02	BIRC3,CDC42,CDH1,CXCL8,FAS,HERC2,IFNGR1,IL18,MMP1,MMP28,MYD88,MYL6,PIK3C2B,PIK3C3,RHOC,RHOT1,STAT3,TAB2,TRAF2,WNT10A	
Keratinization	-0E00	1.8073922282301278	6.94E-02	CSTA,KLK5,KRT10,KRT13,KRT15,KRT17,KRT18,KRT19,KRT4,KRT5,KRT7,KRT80,PKP1,SPRR1B,ST14	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	-1.414213562373095	7.97E-02	ABCC4,ALDH1A3,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,CAT,CHST11,FABP5,HS3ST1,HS6ST1,IL18,IL1RN,MAOA,MAPK9,MGST2,MGST3,MYD88,PAPSS2,PLTP,RXRA,SLC27A5,SMOX,TRAF2	
Leptin Signaling in Obesity	-0E00	1.3416407864998738	8.33E-02	AKT2,FOXO1,PIK3C2B,PIK3C3,PLCE1,PRKACA,STAT3	
Lipid Antigen Presentation by CD1	-0E00	0.0	1.45E-02	AP2A1,AP2B1,ARF6,B2M,CANX,PSAP	
Lung Ionic Balance Signaling Pathway	-0E00	0.9284766908852594	5.49E-02	ABCC4,ACKR3,ADGRG1,ADGRL1,ATP1A1,ATP1B1,ATP1B3,CXCL8,FZD8,GNAS,GPR153,GPR161,GPR87,GPRC5A,HCAR2,LPAR1,MYH9,PLCE1,PPP2R1A,PPP2R2B,PPP2R5A,PPP2R5C,PPP2R5E,PRKACA,PRKD3,S1PR1,S1PR5,SMO,VDAC1	
Meiotic recombination	-0E00	-1.0	4.60E-02	BRCA1,H2BC9,RAD50,RAD51	
Meiotic synapsis	-0E00	1.0	5.13E-02	ATR,BRCA1,H2BC9,RAD21	
Melatonin Degradation I	-0E00		1.18E-02	CYP1B1	
Metabolism of Angiotensinogen to Angiotensins	-0E00		5.88E-02	CTSD	
Metabolism of porphyrins	-0E00		7.69E-02	BLVRB,HMOX2	
Mismatch Repair	-0E00		6.25E-02	POLD4	
Mismatch Repair in Eukaryotes	-0E00		5.26E-02	RFC1	
Mitochondrial L-carnitine Shuttle Pathway	-0E00		5.26E-02	SLC27A5	
Mitochondrial RNA degradation	-0E00		8.00E-02	GRSF1,SLIRP	
NF-κB Signaling	-0E00	1.1338934190276817	5.07E-02	AKT2,BMP4,FGFR3,IGF1R,IL18,IL1RN,INSR,KRAS,MAP2K6,MAP4K4,MYD88,NFKBIA,NFKBIB,PIK3C2B,PIK3C3,PRKACA,RALA,RALB,RAP2B,RELA,RRAS,RRAS2,TAB2,TANK,TGFA,TGFBR2,TNFAIP3,TRAF2,UBE2N	
NFKBIE Signaling Pathway	-0E00	0.0	1.78E-02	CXCL8,IKBKE,NFKBIA,NFKBIB,PPP6R1,REL,RELA,TRAF2	
NUR77 Signaling in T Lymphocytes	-0E00		2.50E-02	B2M,CALM1,CALM3,CALML5,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F,MR1,PRKD3,RXRA,SIN3A	
Nephron development	-0E00		7.69E-02	LFNG	
Neuropathic Pain Signaling in Dorsal Horn Neurons	-0E00	2.4494897427831783	5.56E-02	CAMK2G,PIK3C2B,PIK3C3,PLCE1,PRKACA,PRKD3	
Neuropeptides in Migraine Signaling Pathway	-0E00	1.1547005383792517	6.78E-02	CAMK2G,CRCP,GNAI1,GNAQ,GNAS,GNB4,GNG12,IL18,IL1RN,PLCE1,PRKACA,SLC39A7	
Neurotransmitter release cycle	-0E00		5.00E-02	MAOA,VAMP2	
Neurovascular Coupling Signaling Pathway	-0E00	0.0	5.96E-02	CACNB3,CALM1,CALM3,CALML5,GJA1,GNAQ,MPRIP,PLA2G4A,PLAAT3,PPP1CB,PRKACA,PTGS2,SLC16A1,SLC39A7	
Nicotine Degradation II	-0E00		1.18E-02	CYP1B1	
Nicotine Degradation III	-0E00		1.35E-02	CYP1B1	
Nucleosome assembly	-0E00	0.4472135954999579	7.04E-02	CENPA,H2BC9,ITGB3BP,NPM1,RBBP7	
O-linked glycosylation	-0E00	2.1213203435596424	6.78E-02	B3GLCT,B3GNT5,B4GALT5,DAG1,GALNT2,GALNT5,MUC20,THBS1	
OX40 Signaling Pathway	-0E00	-0.4472135954999579	2.49E-02	B2M,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F,MAPK9,NFKBIA,NFKBIB,REL,RELA,TRAF2	
Other interleukin signaling	-0E00		8.33E-02	IFNLR1,VAMP2	
Oxytocin in Spinal Neurons Signaling Pathway	-0E00		2.86E-02	SLC39A7	
PI3K Signaling in B Lymphocytes	-0E00	1.212678125181665	4.01E-02	AKT2,ATF3,ATF6B,C3,CALM1,CALM3,CALML5,CAMK2G,IKBKE,IRS1,IRS2,KRAS,NFKBIA,NFKBIB,PLCE1,PLEKHA1,RALA,RALB,RAP2B,REL,RELA,RRAS,RRAS2,VAV2	
PKCθ Signaling in T Lymphocytes	-0E00	0.8944271909999159	3.92E-02	CACNB3,CAMK2G,HLA-A,HLA-B,HLA-DMA,IKBKE,KRAS,MAP3K13,MAP3K9,NFKBIA,NFKBIB,PIK3C2B,PIK3C3,RALA,RALB,RAP2B,REL,RELA,RRAS,RRAS2,SOS1,VAV2	
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	-0E00		7.69E-02	STAT3	
PRC2 methylates histones and DNA	-0E00	-0.4472135954999579	6.94E-02	H2BC9,JARID2,PHF1,RBBP7,SUZ12	
Passive transport by Aquaporins	-0E00		7.69E-02	AQP3	
Pathogen Induced Cytokine Storm Signaling Pathway	-0E00	2.2936585546278225	6.81E-02	C3,CASP1,CASP7,CDH1,CKLF,COL5A2,COL9A2,CXCL16,CXCL8,FTL,GSDMD,GSDME,HLA-DMA,HMGCR,IFIH1,IFNGR1,IL18,IL1RN,IRF3,MAPK6,MAPK9,MYC,MYD88,STAT1,STAT3,VEGFC	
Peptide hormone biosynthesis	-0E00		8.33E-02	INHBB	
Phase I - Functionalization of compounds	-0E00	1.0	8.04E-02	ACSS1,ALDH2,ALDH3A1,ARNT,CYP1B1,CYP4V2,MAOA,RXRA,SMOX	
Phospholipase C Signaling	-0E00	0.19245008972987526	3.64E-02	ARHGEF18,ARHGEF2,ARHGEF3,CALM1,CALM3,CALML5,CDC42,GNA13,GNAQ,GNAS,GNB4,GNG12,ITGA2,ITGA3,ITGA5,ITGA6,ITGAE,ITGAV,ITGB5,ITGB8,KRAS,MARCKS,MPRIP,MYL6,PLA2G4A,PLCE1,PLD3,PPP1CB,PRKD3,RALA,RALB,RAP2B,REL,RELA,RHOC,RHOT1,RRAS,RRAS2,SHC1,SOS1,TGM2	
Phospholipases	-0E00		5.33E-02	PLA2G4A,PLAAT3,PLCE1,PLD3	
Phototransduction Pathway	-0E00		1.79E-02	PRKACA	
Platelet Adhesion to exposed collagen	-0E00		6.25E-02	ITGA2	
Post-translational modification: synthesis of GPI-anchored proteins	-0E00		2.15E-02	LYPD6B,PIGP	
Potassium Channels	-0E00		2.91E-02	GNB4,GNG12,KCNAB2	
Presynaptic depolarization and calcium channel opening	-0E00		8.33E-02	CACNB3	
Primary Immunodeficiency Signaling	-0E00		6.35E-02	ADA,DCLRE1C,RFX5,TAP1	
Prolactin receptor signaling	-0E00		5.88E-02	SKP2	
Puberty Induction Signaling Pathway	-0E00		5.95E-02	AKT2,CBX8,CEBPB,PHF1,RING1	
Pyrimidine Ribonucleotides Interconversion	-0E00		7.32E-02	NME1,NTPCR,NUDT5	
RHO GTPases Activate NADPH Oxidases	-0E00		8.33E-02	PIK3C3,S100A8	
