© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C6C7_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C6C7_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603415

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C6C7_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Acetone Degradation I (to Methylglyoxal)	-0E00		4.44E-02	CYP1B1,DHRS7	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	-0E00		3.08E-02	H2BC9,KDM1A	
Adrenergic Receptor Signaling Pathway (Enhanced)	-0E00	0.7745966692414834	7.80E-02	ATP6V0B,ATP6V0D1,ATP6V0E1,ATP6V1D,ATP6V1F,CACNB3,CXCL8,GNAI1,GNAQ,GNAS,IL18,MAOA,PLCE1,PRKACA,PRKD3,SMOX	
Airway Inflammation in Asthma	-0E00		6.06E-02	CXCL8,IFNGR1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00		2.63E-02	CXCL8,IL18,MMP1	
Allograft Rejection Signaling	-0E00		1.42E-02	B2M,FAS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		9.53E-03	FAS,HLA-A,HLA-B,HLA-DMA,IL18,IL1RN,REL,RELA,SPP1	
Antimicrobial peptides	-0E00		6.12E-02	ATOX1,PRSS3,S100A8	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	-2.4494897427831783	1.41E-02	CCNA2,PABPC1,PABPC4,RPS6KA1,SKP2,TGFBR2	
Aspirin ADME	-0E00		2.27E-02	SLC16A1	
Atherosclerosis Signaling	-0E00	-0.3779644730092272	8.03E-02	APOL1,CXCL8,F3,IL18,IL1RN,MMP1,PLA2G4A,PLAAT3,REL,RELA,S100A8	
Autoimmune Thyroid Disease Signaling	-0E00		1.29E-02	FAS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F	
B Cell Development	-0E00		6.11E-03	HLA-A,HLA-B,HLA-DMA	
B Cell Receptor Signaling	-0E00	0.7559289460184544	5.01E-02	AKT2,CALM1,CALM3,CALML5,CAMK2G,CDC42,CFL1,ETS1,FOXO1,IKBKE,INPPL1,KRAS,MAP2K6,MAP3K13,MAP3K9,MAPK9,NFKBIA,NFKBIB,PIK3C2B,PIK3C3,PTK2,RALA,RALB,RAP2B,REL,RELA,RRAS,RRAS2,SHC1,SOS1,SYNJ2,VAV2	
BBSome Signaling Pathway	-0E00	0.19245008972987526	6.11E-02	ACKR3,ADGRG1,ADGRL1,CBX8,CCT2,CCT4,CCT5,CCT6A,CCT8,DNM1L,FZD8,GLIS2,GPR153,GPR161,GPR87,GPRC5A,HCAR2,IFT25,IGF1R,INSR,LPAR1,PHF1,PRKACA,RAB5B,RING1,S1PR1,S1PR5,SMO,STAT3,TCP1	
Binding and Uptake of Ligands by Scavenger Receptors	-0E00		2.52E-02	APOL1,FTL,HSP90AA1	
Bupropion Degradation	-0E00		4.00E-02	CYP1B1	
CCR5 Signaling in Macrophages	-0E00	2.0	2.79E-02	CACNB3,CALM1,CALM3,CALML5,FAS,GNA13,GNA15,GNAI1,GNAQ,GNAS,GNB4,GNG12,MAPK9,PRKD3	
CD28 Signaling in T Helper Cells	-0E00	1.1547005383792517	4.02E-02	ACTR2,AKT2,ARPC4,ARPC5,ARPC5L,CALM1,CALM3,CALML5,CDC42,HLA-A,HLA-B,HLA-DMA,IKBKE,MAPK9,NFKBIA,NFKBIB,PAK1,PIK3C2B,PIK3C3,REL,RELA	
CDC42 Signaling	-0E00	-1.5275252316519468	5.67E-02	ACTR2,ARPC4,ARPC5,ARPC5L,B2M,CDC42,CDC42BPA,CDC42EP2,CFL1,DIAPH1,EXOC5,FGD3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F,ITGA2,ITGA3,ITGA5,ITGA6,ITGAE,ITGAV,ITGB5,ITGB8,MAPK9,MPRIP,MYL6,PAK1,PAK2,PPP1CB,RALA,VAV2	
CREB Signaling in Neurons	-0E00	2.3333333333333335	8.05E-02	ACKR3,ADGRG1,ADGRL1,AKT2,CACNB3,CALM1,CALM3,CALML5,CAMK2G,FGFR3,FZD8,GNA13,GNA15,GNAI1,GNAQ,GNAS,GNB4,GNG12,GPR153,GPR161,GPR87,GPRC5A,HCAR2,IGF1R,INSR,KRAS,LPAR1,PIK3C2B,PIK3C3,PLCE1,POLR2A,POLR2C,POLR2F,POLR2L,PRKACA,PRKD3,RALA,RALB,RAP2B,RPS6KA1,RRAS,RRAS2,S1PR1,S1PR5,SHC1,SMO,SOS1,TBP,TGFA,TGFBR2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	-2.4140393963016744	5.40E-02	AKT2,AP1M2,AP1S3,AP2A1,AP2B1,ARF1,B2M,FYB1,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-F,ITGA2,ITGA3,KRAS,MAPK9,MR1,NCK1,PIK3C2B,PIK3C3,PLD3,PPP2R1A,PPP2R2B,PPP2R5A,PPP2R5C,PPP2R5E,RALA,RALB,RAP2B,RRAS,RRAS2,VAV2	
Calcium Signaling	-0E00	1.889822365046136	7.80E-02	ATP2A2,ATP2B1,ATP2B4,CACNB3,CALM1,CALM3,CALML5,CAMK2G,LETM1,MYH10,MYH9,MYL6,MYO10,PRKACA,RAP2B,TPM1,TPM2	
Calcium-induced T Lymphocyte Apoptosis	-0E00	2.23606797749979	1.72E-02	ATP2A2,CALM1,CALM3,CALML5,HLA-A,HLA-B,HLA-DMA,PRKD3	
Cardiogenesis	-0E00		3.70E-02	CTNNB1	
Carnitine shuttle	-0E00		7.14E-02	RXRA	
Cellular Effects of Sildenafil (Viagra)	-0E00	-0.8660254037844387	7.47E-02	ACKR3,ACTB,ACTG1,ADGRG1,ADGRL1,AKT2,ATP2A2,CACNB3,CALM1,CALM3,CALML5,FAS,FZD8,GNAI1,GNAQ,GNB4,GNG12,GPR153,GPR161,GPR87,GPRC5A,HCAR2,HIF1A,HSP90AA1,ID1,KRAS,LPAR1,MAP2K6,MAPK6,MAPK9,MPRIP,MYH10,MYH9,MYL6,MYO10,NFKBIA,PIK3C2B,PIK3C3,PPP1CB,PPP2R1A,PPP2R2B,PPP2R5A,PPP2R5C,PPP2R5E,PRKACA,RGS2,S1PR1,S1PR5,SMO,TGFBR2,VEGFC	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	-2.0207259421636903	8.15E-02	ATP6V0B,ATP6V0D1,ATP6V0E1,ATP6V1D,ATP6V1F,BAG1,CASP1,CCND1,DNAJB1,EEF1A2,HIF1A,HK2,HMGB1,HSP90AA1,HSPA14,HSPA1B,HSPA4,HSPA8,HSPA9,HSPBP1,IDH1,IGF1R,IL18,ITCH,LAMP2,MAPKAP1,MDM2,MLLT11,MMP1,MMP28,MYC,NCOR2,NFKBIA,PIK3C2B,PIK3C3,PLIN2,PSMA3,PSMA5,PSMA6,PSMB1,PSMB4,PSMB5,PSMB7,PSMB8,PSMB9,PSME2,RELA,SNCA,SNX10,STIP1,TP53,UCHL1	
Chondroitin Sulfate Biosynthesis	-0E00		5.41E-02	CHPF,CHST11,HS3ST1,HS6ST1	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		6.06E-02	CHPF,CHST11,HS3ST1,HS6ST1	
