© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C6C8_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C6C8_vs_MPV_lfc
Date	Mon Aug 10 09:59:06 PDT 2026
Analysis ID	43603595

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C6C8_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
CCR5 Signaling in Macrophages	-0E00	1.0	2.59E-02	CALM1,GNA15,GNAI1,GNAI2,GNAI3,GNAS,GNG11,ITPR3,MAPK8,PLCG1,PRKCA,PRKCE,PRKCI	
CD28 Signaling in T Helper Cells	-0E00	0.7745966692414834	4.21E-02	ARPC1A,ARPC1B,ARPC3,ARPC5L,CALM1,CDC42,ELP1,HLA-A,HLA-B,HLA-DRA,IKBKE,IKBKG,ITPR3,MAP3K1,MAPK8,NFATC2,NFKB1,NFKBIB,PIK3CD,PLCG1,PTPN11,RELB	
CDC42 Signaling	-0E00	-1.091089451179962	6.70E-02	ARPC1A,ARPC1B,ARPC3,ARPC5L,CDC42,CDC42BPA,CDC42EP2,CLIP1,DIAPH1,DIAPH3,EXOC1,EXOC2,EXOC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,IQGAP1,IQGAP3,ITGA3,ITGA5,ITGA6,ITGB2,ITGB5,LIMK1,LLGL1,MAPK8,MPRIP,MYL12A,MYL12B,MYL9,MYLK,PARD3,PPP1CB,PPP1CC,PRKCI,RASA1,WASL	
CREB Signaling in Neurons	-0E00	-0.7624928516630234	8.86E-02	ADGRF1,ADGRF5,ADGRG1,ADORA2B,ADRB2,ATF4,CALM1,CAMK2D,CCRL2,CMKLR2,CREB3L2,ELK1,F2RL1,FGFR1,FZD1,FZD7,GDPD5,GNA15,GNAI1,GNAI2,GNAI3,GNAS,GNG11,GPR161,GPR68,GPR89A,GPRC5A,GPRC5B,HTR7,ITPR3,LGR4,LPAR1,NRAS,P2RY2,PIK3CD,PLCB3,PLCD3,PLCG1,POLR2A,POLR2F,POLR2H,POLR2J,PRKACB,PRKCA,PRKCE,PRKCI,RAP2A,RRAS,SHC3,SMPD1,TGFA,TGFB2,TGFBR2,TGFBR3,VIPR1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	-0.4082482904638631	4.26E-02	AHR,AP1M2,AP1S2,AP2S1,CLTB,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,ITGA3,ITGB2,MAPK8,MR1,NFATC2,NFKB1,NRAS,PIK3CD,PLCG1,PPP2R5C,PPP2R5D,PTPN11,RAP2A,RRAS,TGFB2,YES1	
Calcium-induced T Lymphocyte Apoptosis	-0E00	-0.6324555320336759	2.58E-02	ATP2A2,CALM1,CAPN2,HLA-A,HLA-B,HLA-DRA,ITPR3,NFATC2,PLCG1,PRKCA,PRKCE,PRKCI	
Cardiogenesis	-0E00		3.70E-02	WDR5	
Carnitine shuttle	-0E00		7.14E-02	CPT1A	
Cellular Effects of Sildenafil (Viagra)	-0E00	0.13018891098082389	9.37E-02	ACTB,ACVR2B,ADGRF1,ADGRF5,ADGRG1,ADORA2B,ADRB2,ATF4,ATP2A2,BACE1,CALM1,CAPN2,CAPN5,CCRL2,CMKLR2,CREB3L2,F2RL1,FZD1,FZD7,GNAI1,GNAI2,GNAI3,GNG11,GPR161,GPR68,GPR89A,GPRC5A,GPRC5B,HIF1A,HSP90AA1,HSP90AB1,HSP90B1,HTR7,ID1,IL6,LGR4,LPAR1,MAPK8,MEF2A,MPRIP,MYL12A,MYL12B,MYL9,MYLK,MYO10,MYO18A,NFATC2,NFKB1,P2RY2,PDE6D,PIK3CD,PPP1CB,PPP1CC,PPP1R10,PPP2R5C,PPP2R5D,PRKACB,PRKCE,SMAD5,TGFB2,TGFBR2,TGFBR3,VEGFB,VIPR1	
Cellular hexose transport	-0E00		9.09E-02	SLC2A1,SLC2A6	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	-1.5811388300841895	6.58E-02	APP,ATP6AP1,ATP6AP2,ATP6V0D1,ATP6V0E2,ATP6V1B2,ATP6V1F,ATP6V1G1,ATP6V1H,CTSA,EIF4H,EPS8,HDAC6,HIF1A,HMGB1,HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA9,HTT,LAMP2,MEF2A,MMP1,MYC,NFATC2,NFE2L2,NFKB1,PIK3CD,PLIN2,PSMA7,PSMB5,PSMB7,PSMB8,PSMB9,PYCARD,RCAN1,RND3,STING1,STIP1,TP53,TPT1	
