area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,nucleus_id,nucleus_class,root,sample,well,site,timecode,selected_rank
52.0,24.14213562373095,9.742339124391929,6.791342381585703,-51.6574613712573,412.61654433644117,68.00601584149562,27.443208801104024,19.130541919959725,1.1211451356615063,1.434523335299317,0.6975686851455264,1.0,450.46153846153845,932.3269230769231,21,21,MC,KH2506,F1,B6,1,01d00h00m,1
70.0,29.556349186104043,11.59890782956209,7.755184600106653,63.9771947579077,555.4453481452092,83.2573216509973,32.67297980158335,21.84559042283564,1.006946337180878,1.49563271896875,0.6624818188182111,0.9459459459459459,414.0571428571429,1435.8285714285714,9,10,DOUBLE,KH2506,F1,B6,1,01d00h00m,2
64.0,28.14213562373095,10.388720998350834,7.979971476667348,62.6862210536444,507.83574687561986,79.27362147529844,29.264002812255868,22.478792892020696,1.0154901954491722,1.3018493899040156,0.7550329880905788,0.9142857142857143,433.484375,1356.84375,15,15,MC,KH2506,F1,B6,1,01d00h00m,4
49.0,23.31370849898476,8.79282465600191,7.100681584677087,-38.00253779833746,388.81174370164644,65.67241830699932,24.76852015775186,20.001919956836865,1.1328782007946037,1.2383071330752786,0.8069551048777391,0.98,626.734693877551,927.6122448979592,67,84,DOUBLE,KH2506,F1,B6,1,01d00h00m,5
71.0,28.14213562373095,10.46369336050326,8.592640917239754,27.678229231012114,563.3802816901408,79.27362147529844,29.475192564797915,24.204622302083813,1.1265594355764255,1.2177505683391867,0.8256547031474041,0.9861111111111112,700.5211267605633,1252.056338028169,94,123,DOUBLE,KH2506,F1,B6,1,01d00h00m,6
66.0,28.14213562373095,11.042499367836413,7.6787444210605065,-16.532668647854926,523.7056139654829,79.27362147529844,31.105632022074403,21.630265974818325,1.047224264056959,1.4380605424957404,0.6891587713213165,0.9705882352941176,858.4090909090909,1492.560606060606,161,236,DOUBLE,KH2506,F1,B6,1,01d00h00m,7
55.0,24.727922061357855,8.752553575548085,8.005436951422046,-61.48250658497053,436.42134497123584,69.65611848269818,24.655080494501647,22.550526623724075,1.1303093159855457,1.0933261517965391,0.9141200874106867,0.9649122807017544,1234.6727272727273,415.8363636363636,346,570,DOUBLE,KH2506,F1,B6,1,01d00h00m,8
63.0,26.727922061357855,10.042130586959333,7.969781506120941,74.7123237535896,499.9008133306883,75.28992129959958,28.28769179425164,22.450088749636453,1.10820478498953,1.26002583373795,0.795424454676135,0.9692307692307692,1398.6507936507937,644.6190476190476,432,713,DOUBLE,KH2506,F1,B6,1,01d00h00m,9
55.0,24.727922061357855,9.674711328614029,7.210549689426589,32.33314796487864,436.42134497123584,69.65611848269818,27.25270796792684,20.311407575849547,1.1303093159855457,1.341743937053903,0.7481639483287036,0.9821428571428571,1166.1454545454546,1225.4545454545455,309,501,MC,KH2506,F1,B6,1,01d00h00m,10
59.0,26.14213562373095,9.56588992197654,7.842655919260208,-38.05852795538991,468.16107915096205,73.63981865839703,26.94616879430011,22.09198850495833,1.0848751185407877,1.2197258199845753,0.8209399154690514,0.9365079365079365,1032.8983050847457,1570.949152542373,242,380,DOUBLE,KH2506,F1,B6,1,01d00h00m,11
37.0,19.899494936611667,7.818686308687449,5.981618403355662,-5.017760716719723,293.59254116246774,56.05491531439906,22.02446847517591,16.849629305227214,1.1741605384881053,1.3071188734308428,0.7706270764679591,0.9736842105263158,1029.4054054054054,2003.4594594594594,239,378,DOUBLE,KH2506,F1,B6,1,01d00h00m,12
65.0,28.14213562373095,11.579261013585965,7.12483809847943,6.720618349027118,515.7706804205515,79.27362147529844,32.61763665798863,20.069966474589943,1.0313572297530655,1.62519636987361,0.6172509797067152,0.9848484848484849,462.44615384615383,1315.0461538461539,22,23,DOUBLE,KH2506,F1,B6,1,01d00h00m,13
57.0,25.31370849898476,9.201417720553035,7.907589535259581,-75.79955051882021,452.2912120610989,71.30622112390073,25.91948653676911,22.274900099322764,1.1178233322580289,1.1636185312255185,0.8571868112239164,0.9827586206896551,1759.6140350877192,932.8070175438596,590,990,DOUBLE,KH2506,F1,B6,1,01d00h00m,14
89.0,32.14213562373095,11.011079998121959,10.307598442419243,66.53397095453425,706.2090854989088,90.54122710910126,31.01712675527312,29.03548857019505,1.082556101513929,1.0682488321244308,0.9346312319807039,0.978021978021978,1689.4831460674156,1408.685393258427,555,940,DOUBLE,KH2506,F1,B6,1,01d00h00m,15
82.0,30.97056274847714,10.532371191688187,9.95627720145756,2.1041184508432145,650.6645506843879,87.24102182669616,29.668651244192073,28.045851271711435,1.0742998693442378,1.0578623895833563,0.9411777637356015,0.9647058823529412,1826.658536585366,1720.6707317073171,603,1019,MC,KH2506,F1,B6,1,01d00h00m,16
51.0,23.31370849898476,8.174566007548334,7.885766503075189,66.80140948635174,404.68161079150957,65.67241830699932,23.02694650013615,22.213426769225883,1.1791181273576488,1.0366228830590563,0.9717418004272764,0.9807692307692307,920.5686274509804,1342.5294117647059,187,282,DOUBLE,KH2506,F1,B6,1,01d00h00m,17
51.0,24.727922061357855,8.58270575657556,7.6087264014157,-38.117392343996194,404.68161079150957,69.65611848269818,24.17663593401566,21.43303211666394,1.0481050020956877,1.1280081979263494,0.8815193447998123,0.9622641509433962,1973.6470588235295,1021.7450980392157,651,1070,MC,KH2506,F1,B6,1,01d00h00m,18
63.0,27.31370849898476,10.15268837288589,7.8997093677603605,14.13345423698594,499.9008133306883,76.94002394080213,28.59912217714335,22.25270244439538,1.0611800412661492,1.2851977079460926,0.7781952145604845,0.9545454545454546,529.7936507936508,1272.6984126984128,44,54,DOUBLE,KH2506,F1,B6,1,01d00h00m,19
56.0,24.485281374238568,8.451542547285166,8.407965125464091,-0.0,444.3562785161674,68.9726235894044,23.807162105028635,23.6844088041242,1.1737826689577704,1.0051828737596804,0.9982198030723674,1.0,957.5,1050.7142857142858,209,318,DOUBLE,KH2506,F1,B6,1,01d00h00m,20
75.0,29.899494936611667,10.02055380489855,9.658058885880392,16.692956148369156,595.1200158698671,84.2239293989061,28.226912126474783,27.205799678536312,1.0542495465222175,1.0375328959267485,0.9510162404463665,0.974025974025974,646.88,1372.2,74,93,DOUBLE,KH2506,F1,B6,1,01d00h00m,21
56.0,24.727922061357855,9.155499514256386,7.7583590253931956,-70.55417963025452,444.3562785161674,69.65611848269818,25.79013947677855,21.854532465896323,1.15086039445801,1.1800819586062379,0.8506169994777835,0.9824561403508771,521.3035714285714,1020.1785714285714,42,51,DOUBLE,KH2506,F1,B6,1,01d00h00m,22
40.0,21.071067811865476,8.579921497287339,5.944320575169764,-78.75742137465879,317.3973417972624,59.35512059680415,24.16879295010518,16.744565000478207,1.1321312174210385,1.4433813568411569,0.6918365168990317,0.975609756097561,948.725,435.3,202,311,DOUBLE,KH2506,F1,B6,1,01d00h00m,23
50.0,23.556349186104047,8.504646308422155,7.540649253787198,-58.059878078496425,396.74667724657803,66.35591320029309,23.95675016456945,21.241265503625907,1.1323062421575827,1.127840060211102,0.8801721227120867,0.9803921568627451,584.34,884.9,53,65,DOUBLE,KH2506,F1,B6,1,01d00h00m,24
