Unnamed: 0,sam1,sam2,sam3,sam4,sam5,sam6,sam7,sam8,sam9,sam10,sam11,sam12,sam13,sam14,sam15,sam16,sam17,sam18
key,F1_231,F2_231,F3_231,F4_231,F5_231,F6_231,F7_231,F8_231,C1_231,C2_231,C3_231,C4_231,C5_231,C6_231,C7_231,C8_231,MC,GFP
color,saddlebrown,saddlebrown,saddlebrown,saddlebrown,saddlebrown,saddlebrown,saddlebrown,saddlebrown,black,black,black,black,black,black,black,black,darkred,darkgreen
early,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
late,90,90,90,90,90,90,90,90,110,110,110,110,110,110,110,110,110,110
