area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,root,sample,well,site,timecode,selected_rank
175.0,53.4558441227157,21.89281169094001,10.477675993474127,33.745758507984675,1388.613370363023,150.57984259919914,61.669892087154956,29.514580263307398,0.7695866562427293,2.089472102838038,0.4648845191696653,0.9210526315789473,440.37714285714287,1064.24,17,KH2506,MC,G6,1,01d00h00m,1
135.0,47.45584412271571,19.75483955712978,9.003540148013395,-29.732649825558685,1071.2160285657606,133.67843414849494,55.64743537219656,25.362084923981392,0.7532935118530165,2.194119116744165,0.4404502628348936,0.9121621621621622,454.42962962962963,1009.4740740740741,26,KH2506,MC,G6,1,01d00h00m,2
119.0,37.55634918610404,13.478644248903672,11.214368673901513,84.95476119082213,944.2570918468557,105.79253291860293,37.968011968742736,31.589770912398624,1.0602055876010748,1.2019084302330512,0.8339973263398893,0.9754098360655737,472.14285714285717,1536.90756302521,35,KH2506,MC,G6,1,01d00h00m,3
143.0,53.4558441227157,16.892395746685022,13.179990610735194,-82.38589426316958,1134.695496925213,150.57984259919914,47.58421337094372,37.12673411474702,0.6288622391012016,1.2816697860866493,0.6380631469198654,0.8313953488372093,942.3006993006993,443.5804195804196,299,KH2506,MC,G6,1,01d00h00m,4
98.0,36.14213562373095,14.047664945611604,9.029410183840719,25.1621178712042,777.6234874032929,101.80883274290407,39.57088717073691,25.43495826434005,0.9427755634815644,1.5557677256429985,0.6323068895828015,0.9423076923076923,667.5204081632653,758.234693877551,139,KH2506,MC,G6,1,01d00h00m,5
140.0,42.384776310850235,14.102890366494606,12.944209707173577,-3.9601514314478763,1110.8906962904184,119.39373608690207,39.72645173660452,36.46256255541852,0.9793053086529954,1.0895134338467103,0.8962349889529151,0.958904109589041,856.9928571428571,1182.892857142857,252,KH2506,MC,G6,1,01d00h00m,6
224.0,69.45584412271572,30.039911783799184,10.445439563494885,-16.53961364497667,1777.4251140646695,195.65026513441046,84.61946981351882,29.423773418295447,0.5834992399855109,2.8758877595523886,0.3160536651441185,0.8175182481751825,959.2455357142857,1743.330357142857,307,KH2506,MC,G6,1,01d00h00m,7
157.0,47.21320343559643,17.291940927641566,11.940934756346154,-44.266672252359605,1245.784566554255,132.9949392552012,48.7096927539199,33.63643593336945,0.8850801065108697,1.4481228882396795,0.668532130081186,0.9401197604790419,438.9299363057325,1195.0191082802548,18,KH2506,MC,G6,1,01d00h00m,8
132.0,40.384776310850235,14.850132503395324,11.365967917731435,-57.774515112385025,1047.4112279309659,113.75993327000066,41.83135916449387,32.01681103586319,1.0170643502341228,1.3065435879181422,0.7621200588685786,0.9777777777777777,1108.2121212121212,448.2878787878788,410,KH2506,MC,G6,1,01d00h00m,9
186.0,50.62741699796952,17.14528928406721,14.225769023827368,-2.01589800628449,1475.8976393572702,142.61244224780145,48.29658953258369,40.07258879951371,0.9119085078947077,1.205227587721255,0.8056259161070443,0.9346733668341709,1055.6559139784947,509.3817204301075,368,KH2506,MC,G6,1,01d00h00m,10
134.0,44.970562748477136,18.571809106624773,9.343207432696259,76.72833142362603,1063.281095020829,126.67764154500601,52.314955229928934,26.318894176609177,0.8326414328756189,1.9877337884668294,0.4946596602824497,0.9436619718309859,1070.358208955224,1283.0223880597016,382,KH2506,MC,G6,1,01d00h00m,11
