area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,root,sample,well,site,timecode,selected_rank
285.0,69.35533905932738,27.151476207961647,13.715366206143674,46.48353085540186,2261.4560603054947,195.36715227979542,76.48303157172295,38.6348343835033,0.7445518131863625,1.9796391725799773,0.4922300064895009,0.9076433121019108,472.0140350877193,1306.9473684210527,26,KH2506,F5,F6,1,01d00h00m,1
213.0,60.384776310850235,24.450632843608204,11.717495728194152,11.288723736451667,1690.1408450704223,170.09796143901474,68.875022094671,33.007030220265214,0.7340650443619898,2.0866773422222042,0.45363809040406605,0.9342105263157895,467.1032863849765,1242.4507042253522,24,KH2506,F5,F6,1,01d00h00m,2
339.0,68.5269119345812,21.847350917401055,19.965865679419842,-10.746794845681183,2689.942471731799,193.0335547452991,61.541833570143815,56.241875153295325,0.9071669914187036,1.0942350944452455,0.9042994108126328,0.9442896935933147,453.42772861356934,1396.7699115044247,20,KH2506,F5,F6,1,01d00h00m,3
165.0,46.04163056034261,16.176759670094988,13.085167593384915,-44.52168618986328,1309.2640349137075,129.6947339727961,45.56833709885912,36.859627023619474,0.9781206251851097,1.2362669071409524,0.8028067140851074,0.953757225433526,471.9878787878788,1186.2,28,KH2506,F5,F6,1,01d00h00m,4
217.0,59.45584412271571,23.83537632027443,12.23743988982865,66.93500341095279,1721.8805792501487,167.4812510499034,67.1419051275336,34.47166166148915,0.7714015356984598,1.947742055107915,0.4863241386848365,0.9313304721030042,958.9308755760369,709.7142857142857,220,KH2506,F5,F6,1,01d00h00m,5
322.0,65.11269837220809,21.51513486525966,19.168171264832434,49.653370194217565,2555.0486014679623,183.41605175269882,60.60601370495679,53.9948486333308,0.9544086100291068,1.1224406631180914,0.8856820537570983,0.9669669669669669,891.7142857142857,1346.2049689440994,194,KH2506,F5,F6,1,01d00h00m,6
399.0,78.66904755831213,30.35162619749115,17.24741846214584,-27.112336294807534,3166.0384844276928,221.60295086848487,85.4975385844821,48.584277358157294,0.8101677944853568,1.75977792062656,0.5514664352847993,0.9522673031026253,861.7318295739349,1540.2606516290728,183,KH2506,F5,F6,1,01d00h00m,7
265.0,60.526911934581186,19.312899576225384,17.918093532906052,80.83522990671531,2102.7573894068637,170.49834347769348,54.40253401753629,50.47350290959451,0.9089891600283555,1.077843440249813,0.9046092579454682,0.9430604982206405,640.1584905660377,1018.1962264150943,95,KH2506,F5,F6,1,01d00h00m,8
181.0,58.2842712474619,23.17973695515855,10.964449928306042,43.455082165288,1436.2229716326124,164.1810457674983,65.29503367650295,30.885774445932512,0.6695541366328922,2.1140811537948,0.4289154467453694,0.861904761904762,1272.232044198895,385.6353591160221,365,KH2506,F5,F6,1,01d00h00m,9
262.0,62.8700576850888,23.284872525446772,14.710567897094379,-20.790583920817063,2078.952588772069,177.09875404250366,65.59119021252612,41.43821942843486,0.8329586406586474,1.5828670033905343,0.6152670826376128,0.9323843416370107,1381.0839694656488,733.3511450381679,417,KH2506,F5,F6,1,01d00h00m,10
267.0,62.87005768508881,23.506431514532174,15.368936323145642,14.636510219880469,2118.6272564967267,177.09875404250369,66.2153000409357,43.29277837505814,0.8488547979231252,1.5294767978920865,0.6152448276337327,0.9468085106382979,1238.9288389513108,1010.1760299625469,351,KH2506,F5,F6,1,01d00h00m,11
526.0,86.18376618407356,31.70365625075867,21.2594894820501,47.01513982537826,4173.775044634001,242.77117234950296,89.30607394579906,59.885885864929854,0.8899070984229202,1.4912708170874391,0.6663112743419143,0.9686924493554327,1195.7946768060835,1507.351711026616,332,KH2506,F5,F6,1,01d00h00m,12
210.0,57.112698372208094,22.553762334514495,12.453855126268376,54.51310967322502,1666.3360444356276,160.88084048509322,63.53172488595632,35.081282045826406,0.8090284604135067,1.8109864058834941,0.5256436400306358,0.9545454545454546,1172.2333333333333,1968.4809523809524,323,KH2506,F5,F6,1,01d00h00m,13
371.0,79.01219330881975,29.96690856207288,16.558318427671608,-55.22239906737256,2943.860345169609,222.56955861639364,84.41382693541657,46.6431505004834,0.746784918089316,1.809779700334387,0.5260174394351451,0.9070904645476773,645.9730458221024,1353.9029649595686,98,KH2506,F5,F6,1,01d00h00m,14
284.0,76.04163056034261,33.379911841182654,11.441739541916624,4.1695744557159085,2253.521126760563,214.2017762263172,94.02792067938775,32.23025223075105,0.617199211177147,2.9173808509532924,0.3245324197999871,0.890282131661442,1859.3133802816901,835.9401408450705,634,KH2506,F5,F6,1,01d00h00m,15
150.0,45.698484809834994,18.034076993479783,10.739756892237104,-50.43697129954733,1190.2400317397341,128.7281262248873,50.800216883041635,30.252836316160852,0.9026045565578334,1.6791885677147078,0.5872371722336241,0.9433962264150944,1443.9466666666667,1133.1466666666668,449,KH2506,F5,F6,1,01d00h00m,16
204.0,53.798989873223334,20.812860183535754,12.591677456823236,68.82820765346405,1618.7264431660383,151.54645034710796,58.62777516488944,35.46951396288235,0.8857104904509743,1.6529060766449022,0.5996208871029575,0.9488372093023256,1451.75,1470.25,455,KH2506,F5,F6,1,01d00h00m,17
382.0,86.66904755831214,33.42866011032783,15.249948238269427,-50.75391608562495,3031.144614163856,244.13816213609053,94.16523974740234,42.95760067118148,0.6390652149306886,2.1920507262076674,0.4352467556007283,0.8721461187214612,1474.2774869109949,1947.780104712042,466,KH2506,F5,F6,1,01d00h00m,18
263.0,60.970562748477136,21.435814386773192,16.22794531449832,-2.704477343358343,2086.8875223170003,171.74806408021726,60.38257573738927,45.71252201267132,0.8890479921936365,1.3209198066265402,0.7287622893596355,0.9563636363636364,1970.0304182509506,1151.254752851711,675,KH2506,F5,F6,1,01d00h00m,19
138.0,43.55634918610404,17.241612141231016,10.19744528676081,-71.47945274740925,1095.0208292005552,122.69394136930715,48.56792152459441,28.72519799087552,0.9140837928337748,1.6907776071733909,0.5910625765793802,0.9452054794520548,1941.1884057971015,1465.572463768116,671,KH2506,F5,F6,1,01d00h00m,20
236.0,69.01219330881976,30.791540184063717,10.139899683409032,57.17223838419399,1872.6443166038482,194.40054453188662,86.73673291285553,28.56309769974375,0.6226875846610156,3.036671086050785,0.31692704120913706,0.8838951310861424,433.20762711864404,914.5466101694915,16,KH2506,F5,F6,1,01d00h00m,21
118.0,42.62741699796952,18.412011469794987,8.336458534903441,-53.87832940244806,936.3221583019241,120.07723098019582,51.86482104167602,23.482981788460396,0.81604448947684,2.2086130930426617,0.4431896937127217,0.9365079365079365,535.8474576271186,1171.5254237288136,49,KH2506,F5,F6,1,01d00h00m,22
220.0,66.97056274847714,30.415044956601708,9.488318121973185,10.641642697092735,1745.6853798849434,188.64947253092149,85.67618297634283,26.727656681614604,0.6164028644775228,3.2055254224841074,0.3028000022062115,0.9053497942386831,558.5590909090909,1048.3727272727272,56,KH2506,F5,F6,1,01d00h00m,23
252.0,57.798989873223334,18.9904818582821,17.20746339740623,-46.484022704485135,1999.6032533227533,162.81405598091078,53.494315093752384,48.471727880017546,0.9479161176942358,1.1036189018507303,0.8896899614599171,0.9545454545454546,754.6944444444445,1343.7738095238096,143,KH2506,F5,F6,1,01d00h00m,24
177.0,52.04163056034261,19.77560456103354,11.781786405221055,6.815506075926607,1404.4832374528862,146.5961424235003,55.70592834093954,33.18813071893255,0.8212612649701642,1.6784894820593634,0.5762671276548468,0.9267015706806283,659.7740112994351,933.0790960451977,101,KH2506,F5,F6,1,01d00h00m,25
282.0,71.45584412271572,30.431226040604063,12.362136921010489,82.73595402859284,2237.6512596707,201.28406795131187,85.72176349465933,34.82292090425489,0.6940383431438449,2.4616477098618477,0.38772189530660967,0.912621359223301,597.3014184397163,1031.404255319149,78,KH2506,F5,F6,1,01d00h00m,26
205.0,83.59797974644667,36.81844366514207,7.58715014756588,-66.76293319310446,1626.6613767109698,235.48726689139906,103.7139258173016,21.372253936805294,0.3686142841465713,4.852736923488224,0.19254539055814376,0.8299595141700404,838.380487804878,1890.970731707317,178,KH2506,F5,F6,1,01d00h00m,27
189.0,66.42640687119285,30.599900454811966,8.036516380183908,-55.275765785238036,1499.702439992065,187.11663907378266,86.19690268961116,22.638074310377203,0.5382575690505413,3.8076075512349936,0.2569992733932547,0.8873239436619719,1283.7619047619048,427.24867724867727,371,KH2506,F5,F6,1,01d00h00m,28
230.0,69.55634918610404,31.480225910015164,9.446151660399686,-2.0034825426163865,1825.0347153342589,195.93337798902547,88.67669270426806,26.60887791661883,0.5973985194339455,3.332597976590519,0.29550325840100994,0.9126984126984127,1123.2391304347825,638.5652173913044,298,KH2506,F5,F6,1,01d00h00m,29
164.0,52.2842712474619,22.02248771906502,9.680526466304409,-38.43765741980471,1301.3291013687758,147.27963731679407,62.03517667342258,27.269088637477207,0.7538962688164794,2.27492665773086,0.4305476406955009,0.9162011173184358,1297.2317073170732,1249.5548780487804,380,KH2506,F5,F6,1,01d00h00m,30
250.0,57.45584412271571,18.35332209314799,17.752311402889653,0.3149924170520135,1983.73338623289,161.84744823300198,51.699498853937996,50.006510994055354,0.9516592069636739,1.0338553485581887,0.9449759475940184,0.9578544061302682,1342.792,1745.368,399,KH2506,F5,F6,1,01d00h00m,31
163.0,84.35533905932738,41.39764574609753,6.979858342688086,63.268927951489665,1293.3941678238443,237.62067340655597,116.61308660872542,19.661572796304466,0.28785403242370455,5.931015174464766,0.12110063918495645,0.6820083682008368,1259.9325153374234,1936.6871165644172,362,KH2506,F5,F6,1,01d00h00m,32
216.0,54.8700576850888,17.77548951465788,16.08883338281281,27.92755380220469,1713.945645705217,154.56354277489802,50.071801449740505,45.320657416374104,0.9015561527960635,1.1048339610283289,0.8704037046129017,0.9310344827586207,604.2314814814815,1096.5416666666667,80,KH2506,F5,F6,1,01d00h00m,33
117.0,41.798989873223334,17.79250451649301,8.537281785430585,-49.35856006678732,928.3872247569925,117.74363344569953,50.11973103237467,24.048681085719956,0.8415194389297336,2.084094793129243,0.47056737193406356,0.936,1831.3076923076924,720.4529914529915,625,KH2506,F5,F6,1,01d00h00m,34
253.0,83.94112549695429,34.3736457121411,12.765418507102382,33.12627770508823,2007.5381868676848,236.45387463930783,96.82717102011576,35.95892537211938,0.4512121745160453,2.692715925687544,0.27263364315840016,0.7249283667621776,1646.3201581027668,1074.189723320158,539,KH2506,F5,F6,1,01d00h00m,35
257.0,62.8700576850888,25.525570311033086,12.889183024402,-78.77697851493183,2039.277921047411,177.09875404250366,71.90301496065658,36.307557815216896,0.8170624833941694,1.980386985172581,0.5022180686550567,0.9448529411764706,1462.68093385214,1508.4941634241245,460,KH2506,F5,F6,1,01d00h00m,36
250.0,65.21320343559643,27.85887442949191,11.577096506542658,77.24405998116241,1983.73338623289,183.69916460731386,78.47570261828706,32.61153945504974,0.7387182084815853,2.40637835347989,0.41013137653589127,0.946969696969697,1947.644,1041.556,672,KH2506,F5,F6,1,01d00h00m,37
255.0,76.08326112068522,34.70460023245086,9.76847454162236,-31.307069137635665,2023.408053957548,214.31904541038088,97.75943727450945,27.51682969471087,0.5535690565318592,3.5527144063874556,0.26957288525447864,0.9239130434782609,635.3372549019608,1399.164705882353,93,KH2506,F5,F6,1,01d00h00m,38
231.0,55.4558441227157,18.867049538119975,15.919501170319785,-33.69091816819172,1832.9696488791903,156.21364541610055,53.14661841723936,44.843665268506435,0.9439026455100641,1.1851533120457052,0.8262550350658743,0.9585062240663901,803.5064935064935,1197.1688311688313,158,KH2506,F5,F6,1,01d00h00m,39
266.0,74.18376618407356,32.810474925431436,11.147435495610514,-26.457287835122017,2110.692322951795,208.9683554480945,92.42387302938432,31.401226748198628,0.6073985415195053,2.9433204559336628,0.3146057977010849,0.9047619047619048,647.9323308270676,1182.8684210526317,96,KH2506,F5,F6,1,01d00h00m,40
280.0,69.11269837220809,25.908810100228486,14.573714386766111,-59.72681600219751,2221.781392580837,194.68365738650164,72.98256366261545,41.05271658243975,0.7366347397814778,1.7777767158491444,0.5310962247655582,0.9120521172638436,606.85,1064.3857142857144,82,KH2506,F5,F6,1,01d00h00m,41
