area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,root,sample,well,site,timecode,selected_rank
147.0,42.970562748477136,15.369349029729419,12.25349137741534,-4.035425655315457,1166.4352311049395,121.0438387281046,43.29394092881526,34.51687711947983,1.0004263365796526,1.2542832533474484,0.7923489865389169,0.9607843137254902,466.3265306122449,1358.1768707482993,21,KH2506,GFP,F6,1,01d00h00m,1
215.0,56.526911934581186,22.590200706360015,12.435060007486902,-39.87020798235498,1706.0107121602855,159.23073784389067,63.63436818692961,35.02833804925888,0.8455470968364946,1.8166539359487535,0.536424246152218,0.9598214285714286,417.72093023255815,1013.4093023255814,10,KH2506,GFP,F6,1,01d00h00m,2
398.0,73.59797974644665,26.056256509649394,19.642056077048128,-42.70649384334782,3158.103550882761,207.31825280689196,73.39790566098421,55.32973542830458,0.9233389363223878,1.326554430322409,0.7463957343726062,0.9683698296836983,728.4095477386935,733.1105527638191,100,KH2506,GFP,F6,1,01d00h00m,3
144.0,46.87005768508881,19.758498288679025,9.415431826920056,49.13432834510124,1142.6304304701448,132.02833150729242,55.65774165825077,26.52234317442269,0.8237233557017132,2.0985227923574015,0.4696396366284316,0.9411764705882353,728.0625,844.75,105,KH2506,GFP,F6,1,01d00h00m,4
147.0,46.62741699796952,19.307945246514713,9.842470258353744,-28.121448726609998,1166.4352311049395,131.34483661399864,54.38857815919637,27.725268333390826,0.8496586505959528,1.9616970882007183,0.5020596699289905,0.9363057324840764,902.204081632653,1291.3061224489795,177,KH2506,GFP,F6,1,01d00h00m,5
171.0,47.55634918610404,17.817507970741282,12.31195015825422,-39.6672889130671,1356.8736361832969,133.96154700310998,50.19016329786276,34.68154974156118,0.9501429711853221,1.447171872994954,0.6858234103400243,0.9715909090909091,936.6140350877193,1651.7894736842106,192,KH2506,GFP,F6,1,01d00h00m,6
93.0,33.798989873223334,12.204854328003337,9.743111563322646,57.05215397462416,737.9488196786351,95.2084221780939,34.37987134648827,27.445384685415902,1.0230229357978813,1.252664946786381,0.7949281321292021,0.9489795918367347,680.6666666666666,737.4408602150538,88,KH2506,GFP,F6,1,01d00h00m,7
144.0,42.384776310850235,14.859570953232343,12.348255606277041,53.7088946080546,1142.6304304701448,119.39373608690207,41.85794634713336,34.7838186092311,1.0072854603287953,1.203374098093557,0.8303478598761754,0.96,1141.875,424.53472222222223,272,KH2506,GFP,F6,1,01d00h00m,8
226.0,56.04163056034261,19.368301103329244,15.189107736072927,34.43673409867688,1793.2949811545327,157.86374805730313,54.55859465726547,42.78621897485331,0.904267198608608,1.2751440993028882,0.7670708896154125,0.9377593360995851,1301.783185840708,832.2566371681415,326,KH2506,GFP,F6,1,01d00h00m,9
144.0,42.97056274847714,14.235535733926591,13.053102044547996,79.01279058610496,1142.6304304701448,121.04383872810462,40.10010065894814,36.76930153393801,0.9800094725678228,1.090586412742592,0.9047424737626245,0.9411764705882353,1235.1666666666667,1251.4305555555557,299,KH2506,GFP,F6,1,01d00h00m,10
