	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
RNR2	0.087765942164281	0.3735169984438933	0.026983641073557798	0.8501310271280385	0.05178563620219893	0.6802740488900249	0.056568306825094346	0.5464031183042806	conserved
RNA45S5	-0.10140554928314477	0.31712846033958386	0.18075603277878732	0.044072121120540396	-0.2739247019030198	0.0005222822503313575	0.04257462393389074	0.692818402432047	additive
ACTB	-0.3824351095797996	3.034801202878932e-06	-0.08141185367954581	0.4853278786718991	-0.26919523890130176	0.0009945801742656847	-0.2307205084297659	0.0020543703895711312	dominant_P2
PTMA	-0.015555398488165664	0.9137572025950833	-0.05190656748858213	0.6982286143993385	0.03442568422747489	0.8274052116825469	-0.0344261824315742	0.7663176504984073	conserved
TUBA1B	-0.23171596508786718	0.00041178192658627587	-0.24522405161441366	0.00018877592214420704	0.01747469201426281	0.9009431238491872	-0.24054788264757418	1.4741370412083967e-05	fusion-altered
RPS5	-0.5565692885767882	2.3058505653107536e-19	-0.24883918466312427	0.0002436836304603355	-0.2786517355150516	1.3252534819828585e-05	-0.4072364645586207	9.832318150418215e-14	transgressive_down
HSP90AA1	-0.5880881742420854	3.6570334201305324e-17	-0.27635030825454654	0.00027186953999053004	-0.27475879948051346	0.00014684080009169314	-0.43791498623033814	1.397209251499112e-12	transgressive_down
RNR1	0.16025691443955442	0.09396643587050711	0.030060476483952797	0.8443596055625762	0.11208864185859786	0.2855435324639748	0.0932169929951474	0.31173998117487267	conserved
S100A6	0.16946588183440192	0.04855690550378495	0.1221140585088077	0.2048081588431591	0.03464828485500296	0.8143297429599484	0.14634553131776235	0.05040226935453938	conserved
S100A2	0.1988522872584787	0.00813370680448673	-0.3942055482989134	1.0056841558219342e-08	0.6152734714328377	8.231863299217777e-20	-0.09468388135672655	0.20951593995983414	additive
TUBB	-0.10325851294940817	0.16825622134467239	-0.1440999256602364	0.043202126219712665	0.04140931783749176	0.7040802325567705	-0.12434696421501487	0.04067235389507803	fusion-altered
FTL	-0.6383465494199372	2.9993250047625643e-30	-0.9043970023781203	8.071944315536254e-60	0.2431363216682643	3.30114987885535e-05	-0.7751710165161235	2.7933752744859627e-58	transgressive_down
RPLP2	-0.20165466463616064	0.0025377462141655586	-0.19229408312099855	0.005090480144584632	-0.002560040519700382	0.987266586836305	-0.19835114377467583	0.0004921906548823829	fusion-altered
ACTG1	-0.28859996196738574	4.3827215548739684e-05	-0.008621388844261993	0.9592167748891393	-0.2626844743652967	0.00014956450636574478	-0.14517889295537473	0.03241920365835292	dominant_P2
FTH1	0.10618787282204316	0.12329586787403535	-0.05573335151060114	0.5275415495034302	0.15486341449855656	0.014309754954092408	0.023682652331103834	0.7815751043193476	additive
RPS2	-0.07513866813284242	0.3740823074445035	0.07552470590267528	0.40472963234753373	-0.1433763232423999	0.050056351376210693	0.0018647807874828592	0.9856226952010424	conserved
