	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
RNR2	-0.1220483719542369	0.47840676435997126	0.10941726834588858	0.463587275006963	-0.3119101458212965	0.03349183196886411	0.015101492129708842	0.9396368547610173	additive
RNA45S5	-0.03760547769985055	0.851758287040158	0.020636544353685032	0.9167883538312037	-0.06073536128706175	0.6795067030240476	0.001322359602959025	0.9937467138117747	conserved
ACTB	-0.21411753949772325	0.12277132279527521	-0.14187259140266564	0.3094431829990938	-0.01367495328428428	0.9486061573495554	-0.19348761255761437	0.11306601026300261	conserved
PTMA	-0.25748252917032555	0.043379691028656346	-0.06673207715645495	0.6298898285324552	-0.1088655074951968	0.4113666447797297	-0.17244176073732367	0.14135621355465042	conserved
TUBA1B	-0.3124141261925308	0.003948787004696559	-0.0744014654633334	0.5490942308518136	-0.16330675885375545	0.15631304224558798	-0.2073725541785338	0.04399460377592312	fusion-altered
RPS5	-0.15385390560761236	0.4647055367270052	-0.008808283547465845	0.9719772711006283	-0.10917046116787556	0.5949486507729814	-0.057942431655844034	0.7264268318175158	conserved
HSP90AA1	-0.1707837435438463	0.3278984689128814	-0.24530461767909564	0.11166353401408338	0.08759850450998755	0.6088484290836257	-0.22001958788486148	0.11688020236111447	conserved
RNR1	0.03828001276300308	0.8802859209388786	0.37796101495476686	0.01626057562518088	-0.37823748041869043	0.02025295235804612	0.19775586174603105	0.1710356261714443	additive
S100A6	-0.4842224029621714	0.00016644322780502694	-0.26447903650915916	0.05580808847839893	-0.12091656199756935	0.3933726829456114	-0.376658394813673	0.0006285047293488867	fusion-altered
S100A2	-0.38631322581687055	0.02728845805995323	-0.09357051481033639	0.3025343472631346	-0.07080848172050372	0.6878955293915577	-0.2143546261620757	0.04954895707160242	fusion-altered
TUBB	-0.11562060990183771	0.3308169157985836	-0.009719255109347328	0.954761054701125	-0.0761980846537668	0.49732703079099017	-0.05412263105461387	0.6234176550071163	conserved
FTL	0.06520194101867294	0.6634230753947646	-0.050590930597114094	0.6971345628056161	0.1391019601845977	0.214679663429715	-0.007977502617383994	0.9594034540899999	conserved
RPLP2	-0.14797432619813766	0.41261899799484514	-0.09785512028772968	0.5358135562825534	0.008073971781002007	0.9744077061244163	-0.1342534506378195	0.3589521256231934	conserved
