image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.a.3.tif,13,a,3,46,,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.b.1.tif,13,b,1,47,2 ecDNA,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.b.2.tif,13,b,2,45,,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.b.3.tif,13,b,3,46,,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.c.1.tif,13,c,1,46,2 ecDNA,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.c.2.tif,13,c,2,46,2 ecDNA,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.c.3.tif,13,c,3,82,might be 86,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_13cell.c.4.tif,13,c,4,47,,1806_13,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.a.1.tif,14,a,1,58,,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.a.2.tif,14,a,2,91,3 ecDNA,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.a.3.tif,14,a,3,82,,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.b.1.tif,14,b,1,75,or +9 = 84 if counting side chromosomes,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.b.2.tif,14,b,2,89,really nice spread,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.b.3.tif,14,b,3,77,,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.c.1.tif,14,c,1,87,,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.c.2.tif,14,c,2,90,5 ecDNA,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_14cell.c.3.tif,14,c,3,93,,1806_14,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.a.1.tif,15,a,1,298,soooo many,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.a.2.tif,15,a,2,92,,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.a.3.tif,15,a,3,89,,1806_15,0,,,,,,,,,,,,,,,,,,,,
